stratum,ticker,name_short,article_id,timestamp,category,match_mode,sparsity_tier,is_bulk_listing,n_tickers_in_article,title,n_hits,code_present,name_present,body_len,evidence,verdict,note
tier:dense,2330,台積電,M.1524662786.A.626,2018-04-25 21:26:26,標的,name,dense,False,1,Re: [標的] 台指期 空 已刪文,1,False,True,719,"[簡稱(name)] …(非長期投資者,必須有停損機制)
:    今日於10800整進行大幅放空 小台1口
:    停損點為  萬一
:    停利不設限
:    預祝大家放空都賺錢 加油!
耐心才是一切,超魔導劍士還是斬殺了市場

貿易戰造成了市場的動搖,【台積電】的法說動盪全球

市場大幅殞落,聽著美妙的旋律

市場的恐慌蔓延,還是要理性看待市場

經濟數據與基本面無太大改變,此時不回補空單 風險劇增

雖然只有小空一口,但在10487的回補 也賺下了323點

希望大家在未來交易能夠持續賺錢

共…",correct,
tier:dense,2330,台積電,M.1608090259.A.9CC,2020-12-16 11:44:19,新聞,name,dense,False,1,[新聞] 記憶體控制晶片 集邦估漲幅逾15%,1,False,True,757,"[簡稱(name)] …y/story/5612/5096438
2.原文內容:
半導體產品漲價效應持續擴散,市調機構集邦科技預期,記憶體控制晶片明年第1季可能
調漲15%至20%。群聯證實今年第4季已陸續開始漲價,漲幅最高達20%。

集邦科技指出,因晶圓代工廠【台積電】與聯電產能滿載,加上IC載板缺貨,交期延長,同時
下游封測產能緊缺,影響群聯等儲存型快閃記憶體(NAND Flash)控制晶片廠無法滿足客
戶加單需求。

集邦科技表示,控制晶片廠除暫停對新訂單報價外,目前處於明年第1季議價的關鍵期,
控制…",correct,
tier:dense,2330,台積電,M.1698111907.A.FBA,2023-10-24 09:45:07,新聞,name,dense,False,2,[新聞] 台積電小跌1元鴻海摜破百元大關 台股早盤 平盤震盪,3,False,True,552,"[簡稱(name)] …[新聞] 【台積電】小跌1元鴻海摜破百元大關 台股早盤 平盤震盪
原文標題:台積電小跌1元鴻海摜破百元大關 台股早盤平盤震盪

原文連結:
https://reurl.cc/jvmxMZ
發布時間:2023/10/24 09:22:29

記者署名:張建中…
[簡稱(name)] …[新聞] 台積電小跌1元鴻海摜破百元大關 台股早盤 平盤震盪
原文標題:【台積電】小跌1元鴻海摜破百元大關 台股早盤平盤震盪

原文連結:
https://reurl.cc/jvmxMZ
發布時間:2023/10/24 09:22:29

記者署名:張建中

原文內容:

美股主要指數23日多數收跌,道瓊指數下跌190.…
[簡稱(name)] …原文內容:

美股主要指數23日多數收跌,道瓊指數下跌190.87點,那斯達克指數上漲34.52點。台股
今天早盤在平盤上下震盪。

9時11分左右,加權指數來到16280.99點,上漲29.63點,成交金額新台幣347.43億元。

【台積電】今天以543元開出,小跌1元,市值滑落至14.08兆元,影響大盤指數約8點。

鴻海因集團旗下富士康遭中國官方查稅,股價連日下挫,今天開盤跳空摜破100元大關,
盤中一度達97.3元,下跌3.2元。

心得/評論:

海公公大家的定錨點十之…",correct,
tier:dense,2002,中鋼,M.1662983576.A.2B7,2022-09-12 19:52:56,新聞,name_with_context,dense,False,8,[新聞] 外資青睞航運金融等族群 投信連56個交易 日買超,1,False,True,795,"[簡稱(name_with_context)] …合計買超147.35億元。其中,自營商買超21.86億元,投信買超13.37
億元,外資及陸資買超112.12億元。

其中,投信連56個交易日買超,續創台股紀錄,外資也由賣轉買。

外資買超排行中,第一名為群長榮航,第二名為聯電、第三名為【中鋼】,分別買超逾2.5萬
張、1.4萬張、1.3萬張,其次依序為陽明、群創、玉山金、元大金、華航、永豐金、新光
金。顯示航空、航運股、面板股、金融股等受到外資青睞。

根據外資賣超前10名個股,第一名為元大台灣50反1,賣超逾1.5萬張,其次依…",correct,
tier:dense,2330,台積電,M.1561549645.A.978,2019-06-26 19:47:25,請益,name,dense,False,1,Re: [請益]請問有人定存股為台積電的嗎,1,False,True,247,"[簡稱(name)] …Re: [請益]請問有人定存股為【台積電】的嗎
哇~
看了前面那位大大po文才知道
原來
台gg在2000年2月時
股價曾經漲到222點也

然後從那時候開始就一直跌
跌到2001年10月
只剩43.6點

為什麼我這麼驚訝!?
因為我看券商提供的k線圖
只有提供到2003年1月…",correct,
tier:dense,2303,聯電,M.1596052135.A.A9F,2020-07-30 03:48:55,心得,name_with_context,dense,False,2,[心得] 13000 才要開始all-in的想法?,1,False,True,678,"[簡稱(name_with_context)] …於每個月平均漲幅高達 +1127 點

可謂拉抬的又快又急,
也成為了台股史上漲幅最快漲點最多的一年

相信這陣子已經有非常多報章媒體都已經提醒過
最近都是拉抬指數出個股的掩護盤
加上台積電一檔就佔了加權指數高達 23.16% 的權重
搭配【聯電】跟風題材,最近的盤確實是對期權指數交易者比較有利

而很多年初的強勢個股都已經進入套人的階段,
很多熱門個股做頭的做頭、破線的破線
相信有很多投資人看到指數一直飆漲創新高,
手中的持股卻一直套牢心中很不是滋味

蠻好奇 8523 不敢進場,…",correct,
tier:dense,2330,台積電,M.1636336852.A.C3A,2021-11-08 10:00:52,新聞,name,dense,False,2,[新聞] 聯電委屈了！謝點名「他」惡意放空百萬張,3,False,True,1280,"[簡稱(name)] …評聯電,又夥同借券機構大量放空聯電,他呼籲金管會應該了解一下。
謝金河表示,美國費城半導體指數頻創新高,這當中,Nvidia帶著元宇宙元素,不斷往前衝,市場已有分析師給予一兆美元的目標喊價,而Nvidia市值挺進到7439.99億美元,也把【台積電】的6109.2億美元拋在後面。
謝金河認為,另一個焦點是AMD猛力上揚,說不定市值很快超過InTel,這是半導體產業難以想像的事。此除之外,半導體產業出現另一個亮點是原本打算以300億美元打包出售的Globalfoundry,決定在Nasd…
[簡稱(name)] …收盤63.63美元,市值是340.2億美元,GFS上市後的好表現,可能撑開台灣晶圓代工股的新比價效應。
謝金河指出,GFS先天不良,後天失調,營運持續虧損,去年全年虧損11.5億美元,今年上半年虧損3.01億美元,而台灣晶圓代工4大咖,包括【台積電】,聯電,世界先進及力積電,今年前三季業績都很突出,台積電前三季淨利4303.09億元,Eps16.6元,聯電一季比一季好,前三季純利398.31億元,Eps3.21元,世界先進前三季純利81.04億元,Eps4.94元,力積電前三季浄利98…
[簡稱(name)] …的好表現,可能撑開台灣晶圓代工股的新比價效應。
謝金河指出,GFS先天不良,後天失調,營運持續虧損,去年全年虧損11.5億美元,今年上半年虧損3.01億美元,而台灣晶圓代工4大咖,包括台積電,聯電,世界先進及力積電,今年前三季業績都很突出,【台積電】前三季淨利4303.09億元,Eps16.6元,聯電一季比一季好,前三季純利398.31億元,Eps3.21元,世界先進前三季純利81.04億元,Eps4.94元,力積電前三季浄利98.92億元,Eps3.07元,比起GFS的虧損,台灣4大…",correct,
tier:dense,2002,中鋼,M.1448881364.A.BF0,2015-11-30 19:02:44,新聞,name_with_context,dense,False,6,[新聞] 台股尾盤爆400億天量 誰買的？ 已刪文,1,False,True,1367,"[簡稱(name_with_context)] …6日盤中所創下波段低點8217點紀錄。

雖然股王大立光力撐平盤之上並穩2500點大關,但最大權值股台積電下挫逾1%,聯發科下
跌逾2%,不僅電子,外資持股較多的金融股富邦金、國泰金、中信金均跌逾1%,傳產龍頭
包括台塑、南亞、統一、味全、【中鋼】全遭外資提現,龍頭領跌下,雖生技太陽能光電等中
小型股零星表現,但仍難挽台股重跌百點頹勢,同時台股挑戰月線連三紅也宣告失敗。

3.心得/評論(必需填寫):

今天被最後一根嘎爆了...難道多軍要復活了嗎!?
等等...所以最後四百億到底是…",correct,
tier:dense,2605,新興,M.1635816350.A.9BE,2021-11-02 09:25:50,標的,name_with_context,dense,False,2,Re: [標的] 2330.Tw 2454.tw  4958.tw,1,False,True,374,"[簡稱(name_with_context)] …※ 引述《leo144436 (我爽故我在)》之銘言:
: 1. 標的:2330.tw 2454.tw 4958.tw
: 2. 分類:多
: 3. 分析/正文:
: 大盤即將測試10/5日低點賣壓主要有二
: 1.美國基金持有者對亞太跟【新興】市場的贖回潮
: 2.已經美國股市連高點已急經跌了一不分的距離
: 因此我決定在10/5日的低點被突破前當個買個權值股當接盤俠
: 4. 進退場機制:
: 停損
: 2330 550
: 2454 821
: 4958 84
大盤即將來到前…",wrong,新興市場（非新興 2605）
tier:dense,2317,鴻海,M.1651115331.A.578,2022-04-28 11:08:51,新聞,name_with_context,dense,False,5,[新聞] 官股大護盤 今年來買超2千億,2,False,True,1163,"[簡稱(name_with_context)] …約1,970億元,直逼2,000億元大關,創下歷史新高。官股券商與投信共同護盤,力抗外資
提款壓力。

 官股券商27日買超約77億元,台積電買超39億元,仍是重金部署,另聯發科、日月光投
控及中鋼等各2~5億元,台郡、台塑、聯詠、聯電、【鴻海】、上銀、長榮航、群創及南亞等
,都各獲官股買超1億元。

官股券商今年來累計買超最多前三檔個股盤半導體三雄:台積電663億元,聯電及聯發科
都超過百億元,鴻海64億元,聯詠及日月光投控各30~40億元,華碩、大同、技嘉、台郡
、世界、瑞昱、…
[簡稱(name_with_context)] …仍是重金部署,另聯發科、日月光投
控及中鋼等各2~5億元,台郡、台塑、聯詠、聯電、鴻海、上銀、長榮航、群創及南亞等
,都各獲官股買超1億元。

官股券商今年來累計買超最多前三檔個股盤半導體三雄:台積電663億元,聯電及聯發科
都超過百億元,【鴻海】64億元,聯詠及日月光投控各30~40億元,華碩、大同、技嘉、台郡
、世界、瑞昱、廣達、上銀等各在20億元以上。

 而今年來外資賣超十分驚人,賣超台積電3,275億元最多,聯發科626億元、世界502億
元,華碩及瑞昱各200億元以上,明…",correct,
