ticker,first_date,last_date,n_days,n_adjustments,min_adj_factor,n_missing_close,n_missing_inst,adjustment_method,adjustment_verified
0050,2014-01-02,2025-03-31,2742,21,0.6987817360111829,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1101,2014-01-02,2025-03-31,2742,12,0.4289072840086362,2,313,backward from TaiwanStockDividendResult before/after reference price,True
1102,2014-01-02,2025-03-31,2742,12,0.5170391649696643,1,312,backward from TaiwanStockDividendResult before/after reference price,True
1103,2014-01-02,2025-03-31,2742,12,0.6185536052507894,1,316,backward from TaiwanStockDividendResult before/after reference price,True
1104,2014-01-02,2025-03-31,2742,12,0.4891098947178302,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1108,2014-01-02,2025-03-31,2742,10,0.5788490084267609,0,477,backward from TaiwanStockDividendResult before/after reference price,True
1109,2014-01-02,2025-03-31,2718,15,0.6009265762391014,0,621,backward from TaiwanStockDividendResult before/after reference price,True
1110,2014-01-02,2025-03-31,2742,12,0.893895736468805,8,688,backward from TaiwanStockDividendResult before/after reference price,True
1201,2014-01-02,2025-03-31,2742,8,0.8109071077818981,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1203,2014-01-02,2025-03-31,2742,12,0.6428956348063594,15,587,backward from TaiwanStockDividendResult before/after reference price,True
1210,2014-01-02,2025-03-31,2742,13,0.38981379829864476,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1213,2014-01-02,2025-03-31,2624,2,0.8844301248489729,108,2004,backward from TaiwanStockDividendResult before/after reference price,True
1215,2014-01-02,2025-03-31,2742,13,0.46268214496551724,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1216,2014-01-02,2025-03-31,2742,12,0.5758513682775832,1,312,backward from TaiwanStockDividendResult before/after reference price,True
1217,2014-01-02,2025-03-31,2742,5,0.8789905873533661,0,312,backward from TaiwanStockDividendResult before/after reference price,True
1218,2014-01-02,2025-03-31,2742,8,0.7453829732427446,0,313,backward from TaiwanStockDividendResult before/after reference price,True
1219,2014-01-02,2025-03-31,2742,13,0.6928416491749564,8,658,backward from TaiwanStockDividendResult before/after reference price,True
1220,2014-01-02,2025-03-31,2742,12,0.6010118114960767,0,740,backward from TaiwanStockDividendResult before/after reference price,True
1301,2014-01-02,2025-03-31,2742,12,0.6181263780138754,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1303,2014-01-02,2025-03-31,2742,12,0.5845087849592426,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1304,2014-01-02,2025-03-31,2742,12,0.6324153989846546,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1305,2014-01-02,2025-03-31,2742,12,0.4651060088891155,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1307,2014-01-02,2025-03-31,2742,12,0.548452020518973,0,331,backward from TaiwanStockDividendResult before/after reference price,True
1308,2014-01-02,2025-03-31,2742,12,0.5190753135378677,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1309,2014-01-02,2025-03-31,2742,7,0.6630680134038841,0,319,backward from TaiwanStockDividendResult before/after reference price,True
1310,2014-01-02,2025-03-31,2742,10,0.6034701881735887,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1312,2014-01-02,2025-03-31,2742,9,0.6942129910685167,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1313,2014-01-02,2025-03-31,2742,13,0.6099406541876209,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1319,2014-01-02,2025-03-31,2742,12,0.6606753639186903,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1338,2014-01-02,2025-03-31,2742,12,0.6048966235919222,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1339,2014-01-02,2025-03-31,2742,12,0.5795568461758976,0,403,backward from TaiwanStockDividendResult before/after reference price,True
1402,2014-01-02,2025-03-31,2742,12,0.5724349402724808,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1409,2014-01-02,2025-03-31,2742,12,0.5699597093073344,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1410,2014-01-02,2025-03-31,2726,14,0.7238582243174776,41,1012,backward from TaiwanStockDividendResult before/after reference price,True
1413,2014-01-02,2025-03-31,2732,1,1.0,11,750,backward from TaiwanStockDividendResult before/after reference price,True
1414,2014-01-02,2025-03-31,2742,13,0.7438028160295631,0,499,backward from TaiwanStockDividendResult before/after reference price,True
1417,2014-01-02,2025-03-31,2728,7,0.8632581473107848,0,373,backward from TaiwanStockDividendResult before/after reference price,True
1418,2014-01-02,2025-03-31,2735,1,1.0,467,1940,backward from TaiwanStockDividendResult before/after reference price,True
1419,2014-01-02,2025-03-31,2742,12,0.7400993861138159,73,563,backward from TaiwanStockDividendResult before/after reference price,True
1423,2014-01-02,2025-03-31,2728,8,0.9661581951805077,8,665,backward from TaiwanStockDividendResult before/after reference price,True
1432,2014-01-02,2025-03-31,2735,3,0.7925434034722777,2,564,backward from TaiwanStockDividendResult before/after reference price,True
1434,2014-01-02,2025-03-31,2742,12,0.5807398274341592,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1471,2014-01-02,2025-03-31,2735,1,1.0,0,698,backward from TaiwanStockDividendResult before/after reference price,True
1503,2014-01-02,2025-03-31,2742,12,0.7047459415085239,0,359,backward from TaiwanStockDividendResult before/after reference price,True
1504,2014-01-02,2025-03-31,2742,12,0.6408314373295433,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1506,2014-01-02,2025-03-31,2742,1,0.9605042016806722,0,500,backward from TaiwanStockDividendResult before/after reference price,True
1512,2014-01-02,2025-03-31,2735,1,1.0,6,1721,backward from TaiwanStockDividendResult before/after reference price,True
1513,2014-01-02,2025-03-31,2733,12,0.6260634515860488,0,302,backward from TaiwanStockDividendResult before/after reference price,True
1514,2014-01-02,2025-03-31,2742,12,0.5377669617428004,0,338,backward from TaiwanStockDividendResult before/after reference price,True
1515,2014-01-02,2025-03-31,2742,11,0.6870402309253019,0,320,backward from TaiwanStockDividendResult before/after reference price,True
1517,2014-01-02,2025-03-31,2742,12,0.7083938381997312,0,455,backward from TaiwanStockDividendResult before/after reference price,True
1519,2014-01-02,2025-03-31,2742,12,0.6136525241122186,0,321,backward from TaiwanStockDividendResult before/after reference price,True
