variable,dtype,n_non_missing,coverage,n_tickers_with_data
abn_attention_weekend_posonly,float64,512,0.004134767580837937,10
abn_attention_weekday_posonly,float64,3505,0.028305391349290953,65
abn_attention_all_posonly,float64,4035,0.03258552185289272,76
turnover_lag1,float64,109793,0.8866572988338663,259
abn_turnover,float64,110052,0.8887489097780793,259
turnover_next,float64,110052,0.8887489097780793,259
non_inst_roi_next,float64,111202,0.898035985399102,260
non_inst_roi,float64,111453,0.9000629905998643,260
non_inst_roi_lag1,float64,111453,0.9000629905998643,260
ret_fwd8,float64,120378,0.9721387731369319,259
ret_fwd7,float64,120635,0.9742142326452822,259
ret_lag25,float64,120669,0.9744888070549472,259
ret_fwd6,float64,120894,0.9763058435894951,259
ret_fwd5,float64,121153,0.9783974545337081,259
ret_fwd4,float64,121413,0.9804971411958523,260
ret_fwd3,float64,121673,0.9825968278579966,260
ret_fwd2,float64,121932,0.9846884388022095,260
abn_attention_mid_effort_weekend,float64,121948,0.9848176502891107,260
abn_attention_mid_effort_weekday,float64,121948,0.9848176502891107,260
abn_att_weekend_rel_sector,float64,121948,0.9848176502891107,260
abn_attention_low_effort_weekend,float64,121948,0.9848176502891107,260
abn_attention_low_effort_weekday,float64,121948,0.9848176502891107,260
abn_attention_mid_effort,float64,121948,0.9848176502891107,260
abn_attention_low_effort,float64,121948,0.9848176502891107,260
abn_attention_high_effort_weekday,float64,121948,0.9848176502891107,260
abn_attention_weekday,float64,121948,0.9848176502891107,260
abn_attention_high_effort,float64,121948,0.9848176502891107,260
abn_attention_non_trading,float64,121948,0.9848176502891107,260
abn_attention_intraday,float64,121948,0.9848176502891107,260
abn_attention_weekend,float64,121948,0.9848176502891107,260
abn_attention_all,float64,121948,0.9848176502891107,260
abn_attention_high_effort_weekend,float64,121948,0.9848176502891107,260
ret_lag1,float64,122191,0.9867800497464224,260
ret_next,float64,122192,0.9867881254643538,260
amihud,float64,122300,0.9876603030009368,260
market_cap,float64,122451,0.9888797364085667,260
ret,float64,122451,0.9888797364085667,260
close_adj,float64,122451,0.9888797364085667,260
open_adj,float64,122451,0.9888797364085667,260
n_trading_days,float64,122484,0.9891462351003004,260
first_date,datetime64[ns],122484,0.9891462351003004,260
last_date,datetime64[ns],122484,0.9891462351003004,260
zero_volume_days,float64,122484,0.9891462351003004,260
foreign_holding_pct,float64,122484,0.9891462351003004,260
volume,float64,122484,0.9891462351003004,260
value,float64,122484,0.9891462351003004,260
turnover,float64,122484,0.9891462351003004,260
shares_outstanding,float64,122484,0.9891462351003004,260
ret_lag4,float64,123261,0.9954210679329393,260
att_nonzero_weeks_52,float64,123593,0.9981022062861389,260
sparsity_tier,object,123593,0.9981022062861389,260
att_mean_level_52,float64,123593,0.9981022062861389,260
sector_peer_abn_att_weekend,float64,123754,0.999402396873082,260
att_high_effort_weekday,float64,123828,1.0,260
att_high_effort_weekend,float64,123828,1.0,260
att_high_effort,float64,123828,1.0,260
att_non_trading,float64,123828,1.0,260
att_intraday,float64,123828,1.0,260
att_weekend,float64,123828,1.0,260
att_weekday,float64,123828,1.0,260
sector_abn_att_weekend_sum,float64,123828,1.0,260
week,datetime64[ns],123828,1.0,260
regime_price_limit_10pct,bool,123828,1.0,260
regime_continuous_trading,bool,123828,1.0,260
regime_odd_lot,bool,123828,1.0,260
sector_n,int64,123828,1.0,260
att_mid_effort,float64,123828,1.0,260
listing_age_years,float64,123828,1.0,260
is_code_only_matched,bool,123828,1.0,260
att_all,float64,123828,1.0,260
is_makeup_saturday_week,bool,123828,1.0,260
att_mid_effort_weekday,float64,123828,1.0,260
att_zero_base,int64,123828,1.0,260
is_initiation_weekend,bool,123828,1.0,260
att_lookback_all_zero,bool,123828,1.0,260
is_initiation,bool,123828,1.0,260
name_short,object,123828,1.0,260
sector,object,123828,1.0,260
listing_date,datetime64[ns],123828,1.0,260
venue,object,123828,1.0,260
is_ky,int64,123828,1.0,260
week_n_trading_days,int64,123828,1.0,260
is_incomplete_week,bool,123828,1.0,260
is_initiation_weekday,bool,123828,1.0,260
att_low_effort_weekday,float64,123828,1.0,260
att_low_effort_weekend,float64,123828,1.0,260
att_low_effort,float64,123828,1.0,260
att_mid_effort_weekend,float64,123828,1.0,260
ticker,object,123828,1.0,260
