ticker,name_short,sector,n_code_matches,n_name_matches,n_nonzero_weeks_code,n_nonzero_weeks_name,corr_test_powered,code_name_corr,corr_verdict,corr_fail,already_code_only,recommend_demote_to_code_only,n_obs,beta_turnover,t_turnover,beta_absret,t_absret,comovement_pass,comovement_note,match_quality_tier
1101,台泥,水泥,2242,435,433,243,True,0.18489005644589532,fail,True,False,True,501.0,0.5501822575639016,9.965296519210105,-0.8625189657992294,-0.6258748980033714,True,,B_code_only
1102,亞泥,水泥,1495,256,390,175,True,0.08713609325906702,fail,True,False,True,501.0,0.3963512364062079,8.579605235152663,0.8734670594105827,0.5854662220844535,True,,B_code_only
1103,嘉泥,水泥,142,29,79,24,False,,insufficient_power,False,False,False,501.0,0.05414834542343104,3.0543818235217635,0.7288094769897089,1.4189390949192053,True,,D_corr_untested
1104,環泥,水泥,227,24,132,16,False,,insufficient_power,False,False,False,501.0,0.0626101023860601,3.671566552705897,-0.5178333949928862,-0.6422831035626689,True,,D_corr_untested
1108,幸福,水泥,100,0,50,0,False,,insufficient_power,False,True,False,501.0,0.024174121898024786,3.2311131757407825,0.1106334626099704,0.293449224532979,True,,B_code_only
1109,信大,水泥,145,0,87,0,False,,insufficient_power,False,True,False,498.0,0.017903062974850368,1.4881364265393426,0.3473899146909131,0.6329412864519294,False,,C_suspect_no_comovement
1110,東泥,水泥,120,5,64,5,False,,insufficient_power,False,False,False,501.0,0.04490431264920637,3.5509924790161675,1.3523087598817087,1.7178141979070336,True,,D_corr_untested
1201,味全,食品,254,83,143,69,True,0.2583292158288658,fail,True,False,True,501.0,0.168545397281517,5.78427380636673,1.9506684024825762,1.8017801924341665,True,,B_code_only
1203,味王,食品,114,0,65,0,False,,insufficient_power,False,True,False,501.0,0.020635343400648164,1.287759864729828,0.6960477102699347,0.9155004458657605,False,,C_suspect_no_comovement
1210,大成,食品,469,0,233,0,False,,insufficient_power,False,True,False,501.0,0.06673973431075306,1.7556418624931052,2.828920388337958,2.467694668030839,True,,B_code_only
1213,大飲,食品,123,22,58,15,False,,insufficient_power,False,False,False,477.0,0.04021161791904098,2.0375061493678652,1.2446910327071588,2.8976216210275214,True,,D_corr_untested
