ticker,name_short,sector,listing_date,delisting_date,listed_before_sample_end,n_panel_weeks,first_panel_week,last_panel_week,excluded_reason
1101,台泥,水泥,1962-02-09,,True,506,2015-05-03,2025-01-05,
1102,亞泥,水泥,1962-06-08,,True,506,2015-05-03,2025-01-05,
1103,嘉泥,水泥,1969-11-14,,True,506,2015-05-03,2025-01-05,
1104,環泥,水泥,1971-02-01,,True,506,2015-05-03,2025-01-05,
1108,幸福,水泥,1990-06-06,,True,506,2015-05-03,2025-01-05,
1109,信大,水泥,1991-12-05,,True,506,2015-05-03,2025-01-05,
1110,東泥,水泥,1994-10-22,,True,506,2015-05-03,2025-01-05,
1201,味全,食品,1962-02-09,,True,506,2015-05-03,2025-01-05,
1203,味王,食品,1964-08-24,,True,506,2015-05-03,2025-01-05,
1210,大成,食品,1978-05-20,,True,506,2015-05-03,2025-01-05,
1213,大飲,食品,1981-04-10,,True,506,2015-05-03,2025-01-05,
1215,卜蜂,食品,1987-07-27,,True,506,2015-05-03,2025-01-05,
1216,統一,食品,1987-12-28,,True,506,2015-05-03,2025-01-05,
1217,愛之味,食品,1989-10-28,,True,506,2015-05-03,2025-01-05,
1218,泰山,食品,1989-11-11,,True,506,2015-05-03,2025-01-05,
1219,福壽,食品,1990-12-01,,True,506,2015-05-03,2025-01-05,
1220,台榮,食品,1991-11-20,,True,506,2015-05-03,2025-01-05,
1301,台塑,塑膠,1964-07-27,,True,506,2015-05-03,2025-01-05,
1303,南亞,塑膠,1967-11-15,,True,506,2015-05-03,2025-01-05,
1304,台聚,塑膠,1972-05-20,,True,506,2015-05-03,2025-01-05,
1305,華夏,塑膠,1973-03-05,,True,506,2015-05-03,2025-01-05,
1307,三芳,塑膠,1985-11-23,,True,506,2015-05-03,2025-01-05,
1308,亞聚,塑膠,1986-06-20,,True,506,2015-05-03,2025-01-05,
1309,台達化,塑膠,1986-06-27,,True,506,2015-05-03,2025-01-05,
1310,台苯,塑膠,1987-08-06,,True,506,2015-05-03,2025-01-05,
1312,國喬,塑膠,1988-12-21,,True,506,2015-05-03,2025-01-05,
1313,聯成,塑膠,1989-03-27,,True,506,2015-05-03,2025-01-05,
1319,東陽,汽車,1994-12-12,,True,506,2015-05-03,2025-01-05,
1338,廣華-KY,汽車,2012-12-19,,True,506,2015-05-03,2025-01-05,
1339,昭輝,汽車,2012-04-24,,True,506,2015-05-03,2025-01-05,
1512,瑞利,汽車,1994-01-28,,True,506,2015-05-03,2025-01-05,
1521,大億,汽車,1997-10-06,,True,506,2015-05-03,2025-01-05,
1522,堤維西,汽車,1997-10-06,,True,506,2015-05-03,2025-01-05,
1524,耿鼎,汽車,1998-10-30,,True,506,2015-05-03,2025-01-05,
