table,model,status,n_obs,n_entities,n_periods,note
R15_bulk_listing_models,R15 門檻 ≤10 檔/篇,OK,68689,249,478,
R15_bulk_listing_models,R15 門檻 ≤15 檔/篇,OK,72414,252,478,
R15_bulk_listing_models,R15 門檻 ≤20 檔/篇,OK,75171,254,478,
R15_bulk_listing_models,R15 門檻 ≤30 檔/篇,OK,78874,255,478,
R15_bulk_listing_models,R15 門檻 ≤5 檔/篇,OK,62885,246,478,
R15_bulk_listing_models,R15 門檻 ≤999 檔/篇（不過濾）,OK,93778,258,478,
T10_makeup,T10 補班日交互項,OK,72414,252,478,
T12_robustness,R1 稀疏門檻 dense≥30,OK,72414,252,478,
T12_robustness,R1 稀疏門檻 dense≥35,OK,72414,252,478,
T12_robustness,R1 稀疏門檻 dense≥40,OK,72414,252,478,
T12_robustness,R1 稀疏門檻 dense≥45,OK,72414,252,478,
T12_robustness,R1 稀疏門檻 dense≥50,OK,72414,252,478,
T12_robustness,R10 sector_pit 對照,SKIPPED,0,0,0,逐年當期產業分類（sector_pit）需 TWSE 歷年分類快照，目前只有 2026 年的現況分類；主規格以 sector_as_of_2023 執行並在 LIMITATIONS 揭露
T12_robustness,R11 基準：週固定效果（主規格）,OK,72414,252,478,
T12_robustness,R12 前半期,OK,31522,218,237,
T12_robustness,R12 後半期,OK,40892,244,241,
T12_robustness,R12 逐筆交易後（2020-03 起）,OK,40749,244,240,
T12_robustness,R13 僅樣本起始前已上市,OK,69815,230,478,
T12_robustness,R14 Yahoo 新聞管道,SKIPPED,0,0,0,Yahoo 新聞管道依決策暫緩抓取（僅在 PTT 結果不佳時啟用），因此 §5.9 跨管道比較與 news_count 控制項本輪未執行
T12_robustness,R15 大量清單型貼文門檻,SKIPPED,0,0,0,需以不同 max_tickers_per_article 重建面板；執行方式見 scripts/sensitivity_bulk_listing.py
T12_robustness,R2 含全部（對照）,OK,72414,252,478,
T12_robustness,R2 排除通用詞降級股,OK,61158,203,478,
T12_robustness,R3 排除 TPEx,SKIPPED,0,0,0,本宇宙 267 檔全為 TWSE 上市，無 TPEx 個股，此項不適用（PRD 假設與實得清單不符）
T12_robustness,R4 排除 -KY,OK,71492,244,478,
T12_robustness,R5 winsorize 1%/99%,OK,72414,252,478,
T12_robustness,R6 漲跌幅 10% 期間,OK,72414,252,478,
T12_robustness,R6 漲跌幅 7% 期間,SKIPPED,0,0,1,主樣本始於 2015-05，制度變更在 2015-06-01，7% 期間僅 1 週——此穩健性檢定在本樣本期間不可行
T12_robustness,R7 正值限定關注度指標,SKIPPED,482,9,359,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
T12_robustness,R8 交易時段切法,OK,72414,252,478,
T12_robustness,R9 排除不完整週,OK,59983,252,396,
T3_main_regressions,T3-1 整週,OK,72414,252,478,
T3_main_regressions,T3-2 僅週間,OK,72414,252,478,
T3_main_regressions,T3-3 僅週末,OK,72414,252,478,
T3_main_regressions,T3-4 週間＋週末,OK,72414,252,478,
T3_main_regressions,T3-5 交易時段切法,OK,72414,252,478,
T4_effort,T4-high_effort 次週報酬（dense）,OK,5614,36,450,
T4_effort,T4-low_effort 次週報酬（dense）,OK,5614,36,450,
T4_effort,T4-mid_effort 次週報酬（dense）,OK,5614,36,450,
T4_effort,T4-同時 三層週末關注度（dense）,OK,5614,36,450,
T5_mechanism,T5-1 非三大法人 ROI,OK,67848,251,458,
T5_mechanism,T5-2 異常周轉率,OK,65648,252,438,
T6_heterogeneity_reversal,T6-amihud,OK,72414,252,478,
T6_heterogeneity_reversal,T6-foreign_holding_pct,OK,72414,252,478,
T6_heterogeneity_reversal,T6-log_att_mean_level_52,OK,72414,252,478,
T6_heterogeneity_reversal,T6-log_market_cap,OK,72414,252,478,
T6_heterogeneity_reversal,T6-tercile-log_att_mean_level_52:high,OK,23920,147,478,
T6_heterogeneity_reversal,T6-tercile-log_att_mean_level_52:low,OK,25442,226,478,
T6_heterogeneity_reversal,T6-tercile-log_att_mean_level_52:mid,OK,23052,203,478,
T6_heterogeneity_reversal,T6-turnover,OK,72414,252,478,
T6_heterogeneity_reversal,T6R-dense-h1,OK,5614,36,450,
T6_heterogeneity_reversal,T6R-dense-h2,OK,5602,36,450,
T6_heterogeneity_reversal,T6R-dense-h3,OK,5590,36,449,
T6_heterogeneity_reversal,T6R-dense-h4,OK,5576,36,448,
T6_heterogeneity_reversal,T6R-dense-h5,OK,5564,36,447,
T6_heterogeneity_reversal,T6R-dense-h6,OK,5550,36,446,
T6_heterogeneity_reversal,T6R-dense-h7,OK,5536,36,445,
T6_heterogeneity_reversal,T6R-dense-h8,OK,5521,36,444,
T6_heterogeneity_reversal,T6R-sparse-h1,OK,66800,252,478,
T6_heterogeneity_reversal,T6R-sparse-h2,OK,66631,252,477,
T6_heterogeneity_reversal,T6R-sparse-h3,OK,66458,251,476,
T6_heterogeneity_reversal,T6R-sparse-h4,OK,66283,251,475,
T6_heterogeneity_reversal,T6R-sparse-h5,OK,66122,251,474,
T6_heterogeneity_reversal,T6R-sparse-h6,OK,65956,251,473,
T6_heterogeneity_reversal,T6R-sparse-h7,OK,65796,251,472,
T6_heterogeneity_reversal,T6R-sparse-h8,OK,65637,251,471,
T6_heterogeneity_reversal,T6R-全樣本-h1,OK,72414,252,478,
T6_heterogeneity_reversal,T6R-全樣本-h2,OK,72233,252,477,
T6_heterogeneity_reversal,T6R-全樣本-h3,OK,72048,251,476,
T6_heterogeneity_reversal,T6R-全樣本-h4,OK,71859,251,475,
T6_heterogeneity_reversal,T6R-全樣本-h5,OK,71686,251,474,
T6_heterogeneity_reversal,T6R-全樣本-h6,OK,71506,251,473,
T6_heterogeneity_reversal,T6R-全樣本-h7,OK,71332,251,472,
T6_heterogeneity_reversal,T6R-全樣本-h8,OK,71158,251,471,
T7_initiation,T7-1 起始事件（sparse＋silent）,OK,110674,259,478,
T7_initiation,T7-2 起始事件 → 非三大法人 ROI,OK,95811,258,458,
T7_initiation,T7-3 起始事件（silent）,OK,43874,219,478,
T7_initiation,T7-3 起始事件（sparse）,OK,66800,252,478,
T8_sector_spillover,T8-1 產業外溢,OK,72352,252,478,
T8_sector_spillover,T8-2 產業內相對關注度,OK,72414,252,478,
T8_sector_spillover,T8-3 產業外溢 t+2（反轉檢定）,OK,72171,252,477,
T8_sector_spillover,T8-3 產業外溢 t+4（反轉檢定）,OK,71797,251,475,
