ticker,name_short,sector,is_ky,n_years_available,years,status,note
1101,台泥,水泥,0,11,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,OK,
1102,亞泥,水泥,0,11,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,OK,
1103,嘉泥,水泥,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1104,環泥,水泥,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1108,幸福,水泥,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1109,信大,水泥,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1110,東泥,水泥,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1201,味全,食品,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1203,味王,食品,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1210,大成,食品,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1213,大飲,食品,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1215,卜蜂,食品,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1216,統一,食品,0,11,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,OK,
1217,愛之味,食品,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1218,泰山,食品,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1219,福壽,食品,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1220,台榮,食品,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1301,台塑,塑膠,0,11,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,OK,
1303,南亞,塑膠,0,11,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,OK,
