ticker,name_short,sector,collision_group,is_code_only,code_only_reason,variants,match_mode,blocked_after,blocked_before,n_matches,n_code,n_name,n_name_with_context
2603,長榮,航運,長榮系,False,,長榮海運,name_with_context,,,3437,3131,0,306
1605,華新,電器電纜,華新系,False,,華新麗華,name_with_context,科,,506,482,0,24
1216,統一,食品,統一系,True,統一（統一證券／投信／投顧／獅／動詞「統一」：20 筆抽驗 18 筆誤配）,統一,name_with_context,證;投信;投顧;投;超;獅;發票;數位;夢公園;時代;生機;速達;陽光,台灣,497,497,0,0
2912,統一超,貿易百貨,統一系,True,統一超,統一超,name,,,189,189,0,0
1907,永豐餘,造紙,永豐系,False,,永豐餘,name,生技,,343,115,228,0
6790,永豐實,造紙,永豐系,False,,永豐實,name_with_context,,,39,29,0,10
1414,東和,紡織,東和系,True,東和,東和,name_with_context,,,17,17,0,0
2006,東和鋼鐵,鋼鐵,東和系,False,,東和鋼鐵,name,,,198,101,97,0
1301,台塑,塑膠,台塑系,False,,台塑,name_with_context,,,1354,537,0,817
6505,台塑化,油電燃氣,台塑系,False,,台塑化,name,,,588,262,326,0
1304,台聚,塑膠,台亞台聚,False,,台聚,name,集,平,234,104,130,0
2340,台亞,半導體,台亞台聚,False,,台亞,name_with_context,,,162,145,0,17
2002,中鋼,鋼鐵,中鋼系,False,,中鋼,name_with_context,構;鴻,台灣;興,2745,1465,0,1280
2013,中鋼構,鋼鐵,中鋼系,False,,中鋼構,name,,,175,70,105,0
2014,中鴻,鋼鐵,中鋼系,False,,中鴻,name_with_context,,,690,392,0,298
1762,中化生,生技,中化系,False,,中化生,name_with_context,,,78,50,0,28
2427,三商電,資訊服務,三商系,False,,三商電,name,,,43,30,13,0
2905,三商,貿易百貨,三商系,True,三商（三商壽／銀／餐飲／家購／巧福／人壽：17 筆抽驗全數誤配）,三商,name_with_context,壽;銀;美邦;餐飲;家購;電;行,,40,40,0,0
1101,台泥,水泥,,False,,台泥,name_with_context,,,1148,717,0,431
1102,亞泥,水泥,,False,,亞泥,name_with_context,,,643,394,0,249
1103,嘉泥,水泥,,False,,嘉泥,name_with_context,,,70,42,0,28
1104,環泥,水泥,,False,,環泥,name_with_context,,,119,96,0,23
1108,幸福,水泥,,True,幸福,幸福,name_with_context,,,30,30,0,0
1109,信大,水泥,,True,信大,信大,name_with_context,,,52,52,0,0
1110,東泥,水泥,,False,,東泥,name_with_context,,,57,52,0,5
1201,味全,食品,,False,,味全,name_with_context,,,227,144,0,83
1203,味王,食品,,True,味王,味王,name_with_context,,,36,36,0,0
1210,大成,食品,,True,大成,大成,name_with_context,,,200,200,0,0
1213,大飲,食品,,False,,大飲,name_with_context,,,91,69,0,22
1215,卜蜂,食品,,False,,卜蜂,name_with_context,,,323,221,0,102
1217,愛之味,食品,,False,,愛之味,name,,,124,74,50,0
1218,泰山,食品,,False,,泰山,name_with_context,,,240,123,0,117
1219,福壽,食品,,False,,福壽,name_with_context,,,59,44,0,15
1220,台榮,食品,,False,,台榮,name_with_context,,,60,54,0,6
1303,南亞,塑膠,,True,南亞,南亞,name_with_context,,,407,407,0,0
1305,華夏,塑膠,,False,,華夏,name_with_context,,,256,183,0,73
1307,三芳,塑膠,,False,,三芳,name_with_context,,,70,56,0,14
