batch,n_files,n_bytes,sha256
batch-001,25186,90380055,8cb1a5bb997e4085d5d5f097601881d73b7d8e2e371003a6be3f0bbd053498ee
batch-002,25186,95249229,1c3a1b6a19c5e4623c913dd4f566c13863757fe1a9dd78c01f23d932a9d6ea0d
batch-003,25186,102820190,4674bb92de581e6249cb08404ab3bbc4398c4cbdbce3e6b8c5711f952cca0035
batch-004,25186,92710540,7154529044483359243de741717951a2ddeed38d115b8b12bfa72ef0b7a94977
batch-005,25186,98582076,0a3290f0840d85a781906e14977babdfa742029fd16e3a492ae22bd8b6ee7e0c
batch-006,25186,93892486,ac3849d561f27be10c2b1a0cce5f413d4e8eb9e3411b9c7aa91902dfc25247f5
batch-007,25186,101568243,e54bd963db857c6dbcb26fe81a2a828a7a3d92155b891b89d26f87720762dce5
batch-008,25186,107303203,35accfd0c24fc67d4e2355e0637fea71f79a6c1bef45c1dfcf62d03e7c8f7bdb
batch-009,25185,101919926,ec06702032a7aeba99592e816d14b900f2942c6d98b1be9c65dd2a097a5f8112
batch-010,25185,105034373,5f5cd1f5b1a7ae573cc171dec7652c0784a72011e281e694d5edcdad43369a08
__ARCHIVE_TOTAL__,251858,989460321,e156143357e097839e88515df96e9e1df95078a795538da02d13a2d1ff1d3527
