article_id,timestamp,category,n_tickers_in_article
M.1553269184.A.06C,2019-03-22 23:39:44,其他,242
M.1640281342.A.78D,2021-12-24 01:42:22,爆卦,237
M.1593620452.A.E22,2020-07-02 00:20:52,心得,236
M.1555040328.A.840,2019-04-12 11:38:48,心得,236
M.1562258367.A.560,2019-07-05 00:39:27,標的,234
M.1543820171.A.EB0,2018-12-03 14:56:11,其他,232
M.1543903613.A.E23,2018-12-04 14:06:53,其他,232
M.1547300427.A.0B2,2019-01-12 21:40:27,其他,231
M.1546605499.A.9E9,2019-01-04 20:38:19,其他,231
M.1546865380.A.B19,2019-01-07 20:49:40,其他,231
M.1546955942.A.8F7,2019-01-08 21:59:02,其他,231
M.1547040728.A.56B,2019-01-09 21:32:08,其他,231
M.1547125344.A.168,2019-01-10 21:02:24,其他,231
M.1547557952.A.B86,2019-01-15 21:12:32,其他,231
M.1547471945.A.2A1,2019-01-14 21:19:05,其他,231
M.1546410010.A.7EE,2019-01-02 14:20:10,其他,231
M.1547734863.A.181,2019-01-17 22:21:03,其他,231
M.1547952900.A.067,2019-01-20 10:55:00,其他,231
M.1548078679.A.E0C,2019-01-21 21:51:19,其他,231
M.1548169370.A.ED5,2019-01-22 23:02:50,其他,231
M.1548257610.A.918,2019-01-23 23:33:30,其他,231
M.1546494454.A.E68,2019-01-03 13:47:34,其他,231
M.1547641397.A.43A,2019-01-16 20:23:17,其他,231
M.1544163610.A.57D,2018-12-07 14:20:10,其他,231
M.1544604601.A.558,2018-12-12 16:50:01,其他,231
M.1543991519.A.537,2018-12-05 14:31:59,其他,231
M.1544075477.A.147,2018-12-06 13:51:17,其他,231
M.1545407159.A.336,2018-12-21 23:45:59,其他,231
M.1544425563.A.570,2018-12-10 15:06:03,其他,231
M.1545309990.A.CEC,2018-12-20 20:46:30,其他,231
M.1545222617.A.A56,2018-12-19 20:30:17,其他,231
M.1545137173.A.220,2018-12-18 20:46:13,其他,231
M.1544541694.A.FE1,2018-12-11 23:21:34,其他,231
M.1545047447.A.736,2018-12-17 19:50:47,其他,231
M.1544971211.A.48A,2018-12-16 22:40:11,其他,231
M.1544688504.A.F07,2018-12-13 16:08:24,其他,231
M.1545824123.A.D01,2018-12-26 19:35:23,其他,230
M.1545919522.A.507,2018-12-27 22:05:22,其他,230
M.1545634824.A.395,2018-12-24 15:00:24,其他,230
M.1545738994.A.098,2018-12-25 19:56:34,其他,230
M.1545466507.A.061,2018-12-22 16:15:07,其他,230
M.1515871503.A.A6C,2018-01-14 03:25:03,標的,217
M.1516435319.A.477,2018-01-20 16:01:59,標的,216
M.1517165934.A.66B,2018-01-29 02:58:54,標的,216
M.1511684483.A.BEA,2017-11-26 16:21:23,標的,212
M.1517687714.A.1F7,2018-02-04 03:55:14,標的,211
M.1515312962.A.5A9,2018-01-07 16:16:02,標的,210
M.1557076887.A.4B3,2019-05-06 01:21:27,標的,207
M.1553360336.A.656,2019-03-24 00:58:56,標的,207
M.1512196986.A.8BF,2017-12-02 14:43:06,標的,207
M.1511113888.A.E55,2017-11-20 01:51:28,標的,206
M.1512806828.A.076,2017-12-09 16:07:08,標的,205
M.1558226600.A.B97,2019-05-19 08:43:20,標的,205
M.1561227724.A.0AD,2019-06-23 02:22:04,標的,204
M.1554051012.A.887,2019-04-01 00:50:12,標的,202
M.1527524535.A.8D6,2018-05-29 00:22:15,標的,202
M.1560668162.A.B58,2019-06-16 14:56:02,標的,202
M.1561887149.A.963,2019-06-30 17:32:29,標的,201
M.1521399873.A.439,2018-03-19 03:04:33,標的,201
M.1528619432.A.98B,2018-06-10 16:30:32,標的,201
M.1558859288.A.403,2019-05-26 16:28:08,標的,201
M.1513443556.A.B0E,2017-12-17 00:59:16,標的,200
M.1529226824.A.3F9,2018-06-17 17:13:44,標的,199
M.1557542598.A.88D,2019-05-11 10:43:18,標的,199
M.1514134490.A.EDB,2017-12-25 00:54:50,標的,198
M.1519501968.A.6A1,2018-02-25 03:52:48,標的,197
M.1520187267.A.A93,2018-03-05 02:14:27,標的,197
M.1526730191.A.578,2018-05-19 19:43:11,標的,196
M.1521999749.A.2FC,2018-03-26 01:42:29,標的,195
M.1520756231.A.C4B,2018-03-11 16:17:11,標的,194
M.1518371353.A.97D,2018-02-12 01:49:13,標的,193
M.1554533153.A.442,2019-04-06 14:45:53,標的,193
M.1534067319.A.515,2018-08-12 17:48:39,標的,192
M.1525221717.A.CAA,2018-05-02 08:41:57,標的,192
M.1525191954.A.6D5,2018-05-02 00:25:54,標的,192
M.1525624822.A.8FD,2018-05-07 00:40:22,標的,191
M.1523781445.A.CE4,2018-04-15 16:37:25,標的,188
M.1523178018.A.E05,2018-04-08 17:00:18,標的,188
M.1529860517.A.7D2,2018-06-25 01:15:17,標的,185
M.1524381732.A.2CE,2018-04-22 15:22:12,標的,182
M.1584302956.A.708,2020-03-16 04:09:16,標的,167
M.1584301482.A.432,2020-03-16 03:44:42,標的,167
M.1521012529.A.6AC,2018-03-14 15:28:49,心得,146
M.1652375247.A.7A7,2022-05-13 01:07:27,心得,92
M.1624984664.A.93D,2021-06-30 00:37:44,情報,87
M.1652540980.A.D64,2022-05-14 23:09:40,心得,83
