ticker,name_short,sector,n_matches,n_articles,n_weeks_nonzero,first_match,last_match,share_code_match,share_weekend
2330,台積電,半導體,27108,27108,508,2015-04-27 18:45:32,2025-01-24 10:24:25,0.2448723624022429,0.17780728936107423
2317,鴻海,其他電子,6211,6211,507,2015-04-27 21:46:59,2025-01-24 08:26:08,0.48140396071486075,0.15134438898728064
2609,陽明,航運,5436,5436,353,2015-04-27 23:16:04,2025-01-22 12:49:27,0.3646063281824871,0.14201618837380428
2303,聯電,半導體,4179,4179,469,2015-04-27 23:16:04,2025-01-22 23:29:36,0.486958602536492,0.11797080641301746
2603,長榮,航運,3437,3437,381,2015-05-04 22:46:11,2025-01-16 09:26:56,0.9109688681990108,0.1053244108233925
2409,友達,光電,3231,3231,481,2015-04-27 19:07:37,2025-01-23 23:08:49,0.49365521510368304,0.09346951408232745
2002,中鋼,鋼鐵,2745,2745,473,2015-04-28 01:12:59,2025-01-17 08:31:09,0.5336976320582878,0.13806921675774134
2327,國巨*,電子零組件,2296,2296,381,2015-05-01 21:33:50,2024-12-12 20:39:28,0.38501742160278746,0.13588850174216027
2610,華航,航運,2138,2138,406,2015-04-28 23:55:55,2025-01-21 17:56:39,0.5369504209541628,0.10757717492984098
2308,台達電,電子零組件,1441,1441,419,2015-04-29 16:07:13,2025-01-22 23:29:36,0.4816099930603747,0.14712005551700208
2344,華邦電,半導體,1392,1392,391,2015-05-28 21:17:33,2025-01-22 17:21:48,0.5079022988505747,0.09123563218390805
1301,台塑,塑膠,1354,1354,409,2015-05-04 23:04:29,2025-01-22 22:01:53,0.396602658788774,0.16174298375184637
2337,旺宏,半導體,1296,1296,360,2015-04-29 16:07:13,2025-01-16 21:55:48,0.5655864197530864,0.10802469135802469
1101,台泥,水泥,1148,1148,397,2015-04-29 12:49:01,2025-01-15 10:40:27,0.6245644599303136,0.1489547038327526
2313,華通,電子零組件,976,976,357,2015-04-27 23:16:04,2024-12-31 13:33:25,0.7551229508196722,0.09938524590163934
2323,中環,光電,789,789,304,2015-04-30 11:54:29,2025-01-21 18:40:02,0.5880861850443599,0.06590621039290241
2834,臺企銀,金融,784,784,291,2015-04-27 23:16:04,2025-01-14 21:06:41,0.4987244897959184,0.10204081632653061
1536,和大,汽車,747,747,355,2015-04-28 12:56:36,2025-01-24 12:12:31,0.321285140562249,0.19410977242302543
2014,中鴻,鋼鐵,690,690,259,2015-04-29 00:51:31,2025-01-11 09:20:02,0.5681159420289855,0.12753623188405797
1102,亞泥,水泥,643,643,299,2015-05-18 21:32:12,2025-01-15 10:40:27,0.6127527216174183,0.16640746500777606
1513,中興電,電機機械,616,616,189,2015-05-08 23:21:11,2024-12-12 17:38:04,0.525974025974026,0.08928571428571429
6505,台塑化,油電燃氣,588,588,294,2015-04-27 23:16:04,2025-01-21 23:18:46,0.445578231292517,0.14625850340136054
2801,彰銀,金融,579,579,307,2015-04-27 23:16:04,2025-01-14 21:06:41,0.48013816925734026,0.13298791018998274
2812,台中銀,金融,552,552,254,2015-05-08 16:32:40,2025-01-14 21:06:41,0.3333333333333333,0.18297101449275363
2606,裕民,航運,539,539,213,2015-05-13 18:27:38,2025-01-17 22:49:36,0.6567717996289425,0.12059369202226346
2605,新興,航運,512,512,261,2015-05-07 08:48:43,2025-01-13 13:48:13,0.275390625,0.154296875
1605,華新,電器電纜,506,506,233,2015-04-29 18:16:43,2024-12-31 13:33:25,0.9525691699604744,0.06719367588932806
1216,統一,食品,497,497,276,2015-04-27 16:57:02,2025-01-13 22:51:14,1.0,0.1006036217303823
1402,遠東新,紡織,486,486,253,2015-04-30 09:42:48,2024-12-26 23:15:35,1.0,0.07613168724279835
2354,鴻準,其他電子,461,461,211,2015-04-27 23:16:04,2025-01-17 08:29:11,0.6898047722342733,0.08459869848156182
1519,華城,電機機械,440,440,169,2015-05-13 18:15:29,2025-01-22 23:29:36,0.615909090909091,0.09772727272727273
1303,南亞,塑膠,407,407,222,2015-05-04 22:46:11,2025-01-17 21:51:22,1.0,0.07371007371007371
2367,燿華,電子零組件,383,383,162,2015-04-27 22:49:50,2024-11-22 13:21:48,0.720626631853786,0.10704960835509138
3036,文曄,電子通路,370,370,170,2015-05-04 18:17:49,2025-01-10 02:24:46,0.727027027027027,0.10270270270270271
2347,聯強,電子通路,354,354,208,2015-05-24 23:06:55,2024-12-31 13:33:25,0.7994350282485876,0.12146892655367232
2312,金寶,其他電子,350,350,153,2015-05-18 19:10:58,2025-01-22 10:55:19,0.38571428571428573,0.08571428571428572
1909,榮成,造紙,347,347,176,2015-08-11 20:10:41,2024-04-22 21:27:57,0.654178674351585,0.1037463976945245
2105,正新,橡膠,344,344,192,2015-05-12 08:30:02,2024-11-18 23:37:05,0.6424418604651163,0.13372093023255813
2316,楠梓電,電子零組件,344,344,168,2015-05-13 17:39:34,2025-01-23 18:39:47,0.7063953488372093,0.18895348837209303
1907,永豐餘,造紙,343,343,168,2015-05-29 16:49:54,2024-12-18 18:15:03,0.33527696793002915,0.13702623906705538
1504,東元,電機機械,332,332,196,2015-05-02 16:22:30,2024-12-31 13:44:03,0.6867469879518072,0.09036144578313253
1760,寶齡富錦,生技,327,327,116,2015-11-09 21:08:32,2024-12-26 17:09:39,0.5596330275229358,0.12844036697247707
1215,卜蜂,食品,323,323,203,2015-06-03 13:32:53,2025-01-04 18:38:59,0.6842105263157895,0.23839009287925697
1312,國喬,塑膠,305,305,183,2015-04-27 23:16:04,2025-01-01 10:20:40,0.7967213114754098,0.06229508196721312
2338,光罩,半導體,297,297,165,2015-05-08 19:14:38,2025-01-13 13:03:48,0.5993265993265994,0.09090909090909091
2404,漢唐,其他電子,293,293,179,2015-05-13 18:15:29,2025-01-20 22:19:40,0.7508532423208191,0.21160409556313994
2838,聯邦銀,金融,284,284,184,2015-06-04 01:16:21,2025-01-14 21:06:41,0.3767605633802817,0.15492957746478872
2349,錸德,光電,281,281,108,2015-05-20 13:21:09,2024-11-27 16:49:30,0.6512455516014235,0.060498220640569395
6869,雲豹能源,綠能環保,278,278,78,2019-01-23 16:09:09,2025-01-21 22:24:37,0.5899280575539568,0.12949640287769784
1319,東陽,汽車,273,273,171,2015-04-30 17:52:42,2025-01-14 23:15:45,0.8534798534798534,0.10989010989010989
2208,台船,航運,264,264,172,2015-06-02 20:46:10,2025-01-10 22:49:25,0.5454545454545454,0.14772727272727273
1305,華夏,塑膠,256,256,162,2015-05-04 23:00:52,2025-01-01 10:20:40,0.71484375,0.11328125
