ticker,month,n_matches
1101,2015-04,1
1101,2015-05,3
1101,2015-06,6
1101,2015-07,10
1101,2015-08,11
1101,2015-09,3
1101,2015-10,9
1101,2015-11,6
1101,2015-12,14
1101,2016-01,7
1101,2016-02,6
1101,2016-03,4
1101,2016-04,5
1101,2016-05,12
1101,2016-06,6
1101,2016-07,17
1101,2016-08,4
1101,2016-09,6
1101,2016-10,2
1101,2016-12,2
1101,2017-01,3
1101,2017-02,4
1101,2017-04,6
1101,2017-05,2
1101,2017-06,1
1101,2017-07,3
1101,2017-08,3
1101,2017-09,6
1101,2017-10,1
1101,2017-11,7
1101,2017-12,2
1101,2018-01,3
1101,2018-02,7
1101,2018-03,1
1101,2018-04,8
1101,2018-05,9
1101,2018-06,15
1101,2018-07,10
1101,2018-08,18
1101,2018-09,7
1101,2018-10,9
1101,2018-11,15
1101,2018-12,7
1101,2019-01,12
1101,2019-02,5
1101,2019-03,17
1101,2019-04,7
1101,2019-05,9
1101,2019-06,14
1101,2019-07,11
1101,2019-08,6
1101,2019-09,4
1101,2019-10,13
1101,2019-11,7
1101,2019-12,6
1101,2020-01,4
1101,2020-02,6
1101,2020-03,5
1101,2020-04,6
1101,2020-05,4
1101,2020-06,5
1101,2020-07,13
1101,2020-08,8
1101,2020-09,7
1101,2020-10,8
1101,2020-11,10
1101,2020-12,6
1101,2021-01,12
1101,2021-02,12
1101,2021-03,26
1101,2021-04,41
1101,2021-05,18
1101,2021-06,18
1101,2021-07,27
1101,2021-08,21
1101,2021-09,24
1101,2021-10,16
1101,2021-11,18
1101,2021-12,12
1101,2022-01,13
1101,2022-02,6
1101,2022-03,24
1101,2022-04,10
1101,2022-05,21
1101,2022-06,20
1101,2022-07,17
1101,2022-08,29
1101,2022-09,19
1101,2022-10,15
1101,2022-11,13
1101,2022-12,21
1101,2023-01,15
1101,2023-02,15
1101,2023-03,9
1101,2023-04,15
1101,2023-05,9
1101,2023-06,7
1101,2023-07,16
1101,2023-08,9
1101,2023-09,7
1101,2023-10,7
1101,2023-11,14
1101,2023-12,6
1101,2024-01,4
1101,2024-02,5
1101,2024-03,9
1101,2024-04,10
1101,2024-05,13
1101,2024-06,9
1101,2024-07,6
1101,2024-08,9
1101,2024-09,3
1101,2024-10,2
1101,2024-11,11
1101,2024-12,5
1101,2025-01,6
1102,2015-05,2
1102,2015-06,3
1102,2015-07,3
