month,n_articles
2015-04,253
2015-05,1450
2015-06,1776
2015-07,1943
2015-08,2557
2015-09,1698
2015-10,1229
2015-11,1235
2015-12,1190
2016-01,1119
2016-02,807
2016-03,1293
2016-04,1031
2016-05,1127
2016-06,1020
2016-07,1049
2016-08,1139
2016-09,1032
2016-10,880
2016-11,1028
2016-12,866
2017-01,781
2017-02,988
2017-03,1393
2017-04,1171
2017-05,1093
2017-06,1162
2017-07,981
2017-08,1209
2017-09,1325
2017-10,945
2017-11,1457
2017-12,1531
2018-01,1516
2018-02,1324
2018-03,1834
2018-04,1703
2018-05,1842
2018-06,1901
2018-07,1744
2018-08,1977
2018-09,1926
2018-10,2352
2018-11,1953
2018-12,2118
2019-01,1845
2019-02,1385
2019-03,1936
2019-04,1833
2019-05,2661
2019-06,1690
2019-07,1577
2019-08,1823
2019-09,1516
2019-10,1507
2019-11,1575
2019-12,1551
2020-01,1425
2020-02,2156
2020-03,7010
2020-04,3241
2020-05,2861
2020-06,2875
2020-07,3802
2020-08,2844
2020-09,2500
2020-10,1875
2020-11,2136
2020-12,2496
2021-01,4381
2021-02,2689
2021-03,3564
2021-04,4177
2021-05,6638
2021-06,4930
2021-07,6802
2021-08,4355
2021-09,2839
2021-10,2962
2021-11,2807
2021-12,2767
2022-01,2867
2022-02,2226
2022-03,3270
2022-04,2593
2022-05,2507
2022-06,2724
2022-07,3051
2022-08,2293
2022-09,2459
2022-10,2591
2022-11,1757
2022-12,1643
2023-01,1194
2023-02,1643
2023-03,2441
2023-04,1645
2023-05,2077
2023-06,1875
2023-07,2144
2023-08,2380
2023-09,1777
2023-10,1603
2023-11,1648
2023-12,1822
2024-01,1732
2024-02,1672
2024-03,3092
2024-04,2526
2024-05,2746
2024-06,2913
2024-07,3019
2024-08,3664
2024-09,2578
2024-10,2398
2024-11,2199
2024-12,2241
2025-01,1869
