stratum,ticker,name_short,article_id,timestamp,category,match_mode,sparsity_tier,is_bulk_listing,n_tickers_in_article,title,n_hits,code_present,name_present,body_len,evidence,verdict,note
tier:dense,2337,旺宏,M.1500398676.A.099,2017-07-19 01:24:36,新聞,code,dense,False,1,[新聞] 旺宏通過AEC-Q100 Grade 2／3車規認證 已刪文,1,True,True,1232,"[代號] …認證 已刪文
1.原文連結:
http://www.chinatimes.com/realtimenews/20170718003832-260410
※過長無法點擊者必須縮網址
2.原文內容:

全球非揮發性記憶體(NVM)領導廠商旺宏(【2337】)今日宣布,發表通過AEC-Q100 Grade 2/3
級品質考核認證的NAND型快閃記憶體產品。旺宏表示,鑑於高品質與準期交貨是汽車電子
的必要條件,此系列產品將在旺宏自有的12吋晶圓廠生產製造。

旺宏在NVM記憶體的設計及製造能力與…",,
tier:dense,2330,台積電,M.1591600048.A.CA0,2020-06-08 15:07:28,其他,name,dense,False,1,Re: [其他] 媽媽問我台積電240時為何不買呢？,6,False,True,709,"[簡稱(name)] …Re: [其他] 媽媽問我【台積電】240時為何不買呢?
※ 引述《t200830217 (Scott)》之銘言:
: 還記得不到兩個月前我媽在台積電跌到240的時候買了幾張,還邊買邊說好便宜喔
: 不說是買台積電我還以為是在菜市場買菜頭送蔥哩
: 那時我笑她亂買,好心的分析…
[簡稱(name)] …Re: [其他] 媽媽問我台積電240時為何不買呢?
※ 引述《t200830217 (Scott)》之銘言:
: 還記得不到兩個月前我媽在【台積電】跌到240的時候買了幾張,還邊買邊說好便宜喔
: 不說是買台積電我還以為是在菜市場買菜頭送蔥哩
: 那時我笑她亂買,好心的分析析美股、原油跟世界局勢給她聽,聽完她只笑笑的回答我
說
: 台積電真的下市台灣也就完蛋了,所以別怕買進就對了
:…
[簡稱(name)] …Re: [其他] 媽媽問我台積電240時為何不買呢?
※ 引述《t200830217 (Scott)》之銘言:
: 還記得不到兩個月前我媽在台積電跌到240的時候買了幾張,還邊買邊說好便宜喔
: 不說是買【台積電】我還以為是在菜市場買菜頭送蔥哩
: 那時我笑她亂買,好心的分析析美股、原油跟世界局勢給她聽,聽完她只笑笑的回答我
說
: 台積電真的下市台灣也就完蛋了,所以別怕買進就對了
: 那時候想說算了是自己媽媽不忍心笑她是婦人之見
: 結果最近台積電…",,
tier:dense,2610,華航,M.1665027267.A.D1B,2022-10-06 11:34:27,新聞,name_with_context,dense,False,1,[新聞] 王國材：華航正研究台灣直航捷克布拉格,1,False,True,867,"[簡稱(name_with_context)] …」直航進行意見交換,
交通部和華航對於開闢更多歐洲航線樂觀其成,將加快研議及相關評估作業。
心得/評論:
※必需填寫滿30字,無意義者板規處分
捷克超好玩的 又漂亮

還可以在布拉格的廣場無人的走廊一個人跳著舞旋轉

如果開放直飛

應該是【華航】利多吧  手刀訂一張

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 42.77.171.206 (臺灣)
※ 文章網址:
https://www.ptt.cc/bbs/Stock/M.1665027267.A.D1B.htm…",,
tier:dense,2409,友達,M.1584931815.A.3B3,2020-03-23 10:50:15,標的,name_with_context,dense,False,1,[標的]  友達歷史高點&新低價,9,False,True,748,"[簡稱(name_with_context)] …[標的]  友達歷史高點&新低價
1. 標的: 友達(面板死貓之一)

2. 分類: 見證留念(建議空手看戲)

3. 分析/正文:

有些事放大時間段可以看得更清楚,很多人都不記得半年前的事,今天2020/03/23適逢【友達】
又創新低,發文留念紀錄,這隻股票不知道有多少冤魂死在上面

2001/03/13 達基 聯友合併, 成立友達

2002/05/24 ADR上市

2004/04/19 友達最高價 79.5 (漲停)

2012/07/23 跌破票面價…
[簡稱(name_with_context)] …念(建議空手看戲)

3. 分析/正文:

有些事放大時間段可以看得更清楚,很多人都不記得半年前的事,今天2020/03/23適逢友達
又創新低,發文留念紀錄,這隻股票不知道有多少冤魂死在上面

2001/03/13 達基 聯友合併, 成立【友達】

2002/05/24 ADR上市

2004/04/19 友達最高價 79.5 (漲停)

2012/07/23 跌破票面價

2012/08/07 友達低價 8.19

2015/12/14 友達低價 8.03

2019/08/15…
[簡稱(name_with_context)] …得更清楚,很多人都不記得半年前的事,今天2020/03/23適逢友達
又創新低,發文留念紀錄,這隻股票不知道有多少冤魂死在上面

2001/03/13 達基 聯友合併, 成立友達

2002/05/24 ADR上市

2004/04/19 【友達】最高價 79.5 (漲停)

2012/07/23 跌破票面價

2012/08/07 友達低價 8.19

2015/12/14 友達低價 8.03

2019/08/15 友達低價 6.92

2019/09/10 友達宣佈ADR下市…",,
tier:dense,2330,台積電,M.1622693747.A.0BC,2021-06-03 12:15:47,新聞,name,dense,False,1,[新聞] 台積電線上技術論壇登場 法人評價「買進」,3,False,True,219,"[簡稱(name)] …[新聞] 【台積電】線上技術論壇登場 法人評價「買進」
原文標題:

台積電線上技術論壇登場 法人評價「買進」

原文連結:
https://udn.com/news/story/7240/5505149
發布時間:

2021-06-03 09:08

原文…
[簡稱(name)] …[新聞] 台積電線上技術論壇登場 法人評價「買進」
原文標題:

【台積電】線上技術論壇登場 法人評價「買進」

原文連結:
https://udn.com/news/story/7240/5505149
發布時間:

2021-06-03 09:08

原文內容:

台積電線上技術論壇登場 法人評價「買進」

2…
[簡稱(name)] …壇登場 法人評價「買進」
原文標題:

台積電線上技術論壇登場 法人評價「買進」

原文連結:
https://udn.com/news/story/7240/5505149
發布時間:

2021-06-03 09:08

原文內容:

【台積電】線上技術論壇登場 法人評價「買進」

2021-06-03 09:08 經濟日報 / 記者周克威/台北即時報導
https://uc.udn.com.tw/photo/2021/06/03/2/12405065.jpg…",,
tier:dense,2330,台積電,M.1487179949.A.BC2,2017-02-16 01:32:29,標的,name,dense,False,1,Re: [標的] 台指期   積少成=>多 已刪文,5,False,True,1368,"[簡稱(name)] …利空我才會離場
: 甚至也有轉倉持續作多打算
: 反正多頭行情不變
: 我一向對我的文章負責
: 也不會因為一天看錯而刪文
: 做這等無恥事情
: 另外我還要解釋一下
: 那個 積少成多  成語
: 只是剛好我打文章時候(凌晨三點多)
: 【台積電】ADR重摔
: 看好隔日台股開盤 勢必開低
: 是一個絕佳進場點
: 而特別引用的成語
: 並不是說台積電ADR跌 大盤會漲的意思
: 引用這成語比較像是噱頭 吸引目光而已
: 沒有任何意義
: 但是我要在這邊說
: 積少成多 可能只是噱頭…
[簡稱(name)] …為一天看錯而刪文
: 做這等無恥事情
: 另外我還要解釋一下
: 那個 積少成多  成語
: 只是剛好我打文章時候(凌晨三點多)
: 台積電ADR重摔
: 看好隔日台股開盤 勢必開低
: 是一個絕佳進場點
: 而特別引用的成語
: 並不是說【台積電】ADR跌 大盤會漲的意思
: 引用這成語比較像是噱頭 吸引目光而已
: 沒有任何意義
: 但是我要在這邊說
: 積少成多 可能只是噱頭
: 但是 假如
: 積多肯定會成更多多多多多多多
: 好了  就這樣 下禮拜再見
最近讓一月中進場做多的…
[簡稱(name)] …是噱頭
: 但是 假如
: 積多肯定會成更多多多多多多多
: 好了  就這樣 下禮拜再見
最近讓一月中進場做多的我感覺我不孤單了
開始版上一個一個多軍都站出來喊了
一月的時候我還以為多軍只有我
感謝多軍的夥伴 讓這陣子備感溫暖

之前說過 【台積電】法說會說第一季營收可能不好
只是季節性調節 沒什麼
台積電合理價位在195~200左右
如今我要說我可能錯了
台積電的合理價位應該是在200以上到205

依然轉倉持續作多
感謝你們讓我知道  原來我不寂寞
另外在過萬點以前
都不需要擔心…",,
tier:dense,1101,台泥,M.1439388039.A.4B5,2015-08-12 22:00:39,其他,code,dense,False,15,[其他] 8/12 台灣集中市場外資買賣超前30名 已刪文,1,True,True,2210,"[代號] …76876  23.38 
2313 華通     -3871  318106  26.69 
5880 合庫金    -3854  1711956  16.23 
2454 聯發科    -3614  961382  61.17 
【1101】 台泥     -3165  993441  26.90 
2610 華航     -3063  1014075  18.53 
1301 台塑     -3010  2150417  33.78 
2449 京元電    -2323  4…",,
tier:dense,2330,台積電,M.1444399540.A.66D,2015-10-09 22:05:40,新聞,name,dense,False,1,Re: [新聞] 新iPhone熱賣 鴻海、和碩超high 已刪文,2,False,True,733,"[簡稱(name)] …現在的股價是反應在iphone7上
: 今年6s銷售力道和生命週期應該會比6短
: 但是這個股價已經反應在11x -> 8x上了
: 現在要看的是IPhone7和Apple Watch2的市場
: 預估在明年會落在100~120之間
最近【台積】跟三星CUP影響電池續航力的問題被發現以後

觀察國外各大部落格跟網站 買到裝有三星CPU的6S使用者幾乎都認定是瑕疵品

其中很大一部分都想退回去換成TSMC 只是目前蘋果看起來不給換

不過如果火再繼續燒下去 不知道對蘋果三星還有台積會…
[簡稱(name)] …近台積跟三星CUP影響電池續航力的問題被發現以後

觀察國外各大部落格跟網站 買到裝有三星CPU的6S使用者幾乎都認定是瑕疵品

其中很大一部分都想退回去換成TSMC 只是目前蘋果看起來不給換

不過如果火再繼續燒下去 不知道對蘋果三星還有【台積】會有什麼影響...


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 36.233.95.218
※ 文章網址:
https://www.ptt.cc/bbs/Stock/M.1444399540.A.66D.html…",,
tier:dense,2330,台積電,M.1624363269.A.C40,2021-06-22 20:01:09,標的,name,dense,False,1,[標的] 00891中信關鍵半導體 奇蹟自來多,3,False,True,357,"[簡稱(name)] …[標的] 00891中信關鍵半導體 奇蹟自來多
1. 標的:
00891中信關鍵半導體ETF
2. 分類:多

3. 分析/正文:

人多的地方不要去

我大散戶就該人棄我取 相信一張不賣 奇蹟自來

【台積電】和聯發科兩檔資優生 一張買不起 零股怕買貴

可以選擇新上市的00891

兩檔的比重差不多 暫時不會有其他ETF台積電獨大的情形

趁低檔布局 高檔賣出

00891的1 是1張不賣的1

4. 進退場機制:
(非長期投資者,必須有停損機…
[簡稱(name)] …導體ETF
2. 分類:多

3. 分析/正文:

人多的地方不要去

我大散戶就該人棄我取 相信一張不賣 奇蹟自來

台積電和聯發科兩檔資優生 一張買不起 零股怕買貴

可以選擇新上市的00891

兩檔的比重差不多 暫時不會有其他ETF【台積電】獨大的情形

趁低檔布局 高檔賣出

00891的1 是1張不賣的1

4. 進退場機制:
(非長期投資者,必須有停損機制。請益免填)
進場:每個月發薪水隔天all in

停損:存款買得起1張聯發科或台積電



--
※ 發信站: 批踢…
[簡稱(name)] …比重差不多 暫時不會有其他ETF台積電獨大的情形

趁低檔布局 高檔賣出

00891的1 是1張不賣的1

4. 進退場機制:
(非長期投資者,必須有停損機制。請益免填)
進場:每個月發薪水隔天all in

停損:存款買得起1張聯發科或【台積電】



--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.45.54.212 (臺灣)
※ 文章網址:
https://www.ptt.cc/bbs/Stock/M.1624363269.A.C40.html…",,
tier:dense,2330,台積電,M.1661993225.A.2D4,2022-09-01 08:47:05,新聞,name,dense,False,1,[新聞] 晶圓一哥攻3D IC 結盟兩夥伴,8,False,True,1708,"[簡稱(name)] …:
         2022-09-01 01:23 經濟日報/ 記者李孟珊
※請以原文網頁/報紙之發布時間為準
記者署名:
         2022-09-01 01:23 經濟日報/ 記者李孟珊
※原文無記載者得留空
原文內容:

【台積電】強攻3D IC,
力晶集團旗下力積電與愛普
成為台積電最強夥伴,三家公司已共同完
成全球第一個DRAM與邏輯晶片的「真3D堆疊異質整合技術」,是業界最強的異質整合高頻
寬記憶體(VHM),現已量產中,攜手搶攻高速運算、AI、網通等龐大商機。…
[簡稱(name)] …經濟日報/ 記者李孟珊
※請以原文網頁/報紙之發布時間為準
記者署名:
         2022-09-01 01:23 經濟日報/ 記者李孟珊
※原文無記載者得留空
原文內容:

台積電強攻3D IC,
力晶集團旗下力積電與愛普
成為【台積電】最強夥伴,三家公司已共同完
成全球第一個DRAM與邏輯晶片的「真3D堆疊異質整合技術」,是業界最強的異質整合高頻
寬記憶體(VHM),現已量產中,攜手搶攻高速運算、AI、網通等龐大商機。

台積電總裁魏哲家本周二(30日)在台積電2022年…
[簡稱(name)] …3D IC,
力晶集團旗下力積電與愛普
成為台積電最強夥伴,三家公司已共同完
成全球第一個DRAM與邏輯晶片的「真3D堆疊異質整合技術」,是業界最強的異質整合高頻
寬記憶體(VHM),現已量產中,攜手搶攻高速運算、AI、網通等龐大商機。

【台積電】總裁魏哲家本周二(30日)在台積電2022年技術論壇台灣場次高喊,半導體業正面
臨三個大改變,第一個就是過往透過電晶體密度提升與微縮已不足以滿足效能升級需求,
需要透過3D IC技術突破來因應,並以堆疊方式強化效能,達到更高運算能力提升,凸…",,
tier:dense,2409,友達,M.1620454385.A.37D,2021-05-08 14:13:05,新聞,name_with_context,dense,False,2,[新聞] 謝金河：台股就算殺下來 兩大類股仍有財 報挺,4,False,True,2251,"[簡稱(name_with_context)] ….
92%;敦泰從30.05元漲到147.5元,乖離率也超過300%,這次熱門的三檔貨櫃航運股,陽
明漲到92.4元的一剎那,乖離率創下408.8%的空前紀錄,長榮乖離率242%,萬海也有186%
。

而面板股在外資示警下連殺了三天停板,【友達】的乖離率是163%,群創是169%,這些短線漲
太猛、乖離太大的個股一定會面臨修正,股價從高檔下來,要看基本面能不能頂得住,從
先前生技股「天國一輝」都出現飆漲、乖離太大的拉回,一旦基本面不足,股價下殺力道
都很猛烈,至少都是腰斬等級,
這…
[簡稱(name_with_context)] …1億,首季
的兩個月有154.2億元淨利,如果這樣推算,整季淨利應在225億元附近,EPS可能在七元
上下,這是非常耀眼的成績單,長榮也不會差太遠,在業績支撐下,股價回檔有基本面頂
住,跌幅不會太大,但修正技術面乖離要一點時間。

面板股的【友達】、群創、彩晶是快速以三支跌停來化解短線過熱的壓力。友達率先公布首季
淨利118.34億,EPS 1.25元,對照去年首季虧損49.91億元,
今年是大躍升的一年
;群創
尚未公布首季獲利,大致不會差太遠,彩晶公布首季淨利30.36億,EPS…
[簡稱(name_with_context)] …,整季淨利應在225億元附近,EPS可能在七元
上下,這是非常耀眼的成績單,長榮也不會差太遠,在業績支撐下,股價回檔有基本面頂
住,跌幅不會太大,但修正技術面乖離要一點時間。

面板股的友達、群創、彩晶是快速以三支跌停來化解短線過熱的壓力。【友達】率先公布首季
淨利118.34億,EPS 1.25元,對照去年首季虧損49.91億元,
今年是大躍升的一年
;群創
尚未公布首季獲利,大致不會差太遠,彩晶公布首季淨利30.36億,EPS 一元。

台灣的面板產業慘淡很久,這回中國把國家補貼…",,
tier:dense,2327,國巨*,M.1590554798.A.BD0,2020-05-27 12:46:38,新聞,name_with_context,dense,False,4,Re: [新聞] 油國基金出脫...台積被賣超70萬張 國巨、鴻海排第二第三,3,False,True,2014,"[簡稱(name_with_context)] …Re: [新聞] 油國基金出脫...台積被賣超70萬張 【國巨】、鴻海排第二第三
錯!非常錯誤的觀念,
先不討論油國賣台積的原因,
但是沒有華為的單對台積的業務影響不大,
台積後面有一堆客戶排隊等著補上華為的量,

如果台積被美國限制不能接華為的單,
三星也是一樣會有同樣的限制不能接華為的單,
畢竟台積…
[簡稱(name_with_context)] …點還是在創新科技民生應用通訊應用
: 如果少了這麼一大塊市場
: 三星又補上.....
: 自己想像就知道這個後果有多嚴重
: 我想應該很多人在半導體產業
: 應該沒有人會下半年樂觀的起來吧!
: : 油國基金出脫...台積被賣超70萬張 【國巨】、鴻海排第二第三
: : 2020-05-26 00:43 經濟日報 / 記者周克威/台北報導
: : 全球主權基金近期連連賣台股,台積電、鴻海等權值股殺聲四起,外資在5月賣超突破
: : 1,400億元,今年來累計賣超已達6,589億元,…
[簡稱(name_with_context)] …數突破70萬張,沙烏地阿
: : 拉伯、卡達等油元國主權基金是市場認為主要賣壓來源。
: : 根據統計,外資昨日續賣台積電8,520張,今年累計賣超已達70.7萬張,賣超金額2,142億
: : 元,寫下單一個股賣超金額新高紀錄;排名第二的【國巨】,賣超328.3億元、賣超8.5萬張;
: : 第三則是鴻海307.5億元、賣超43.3萬張;其它賣超金額逾百億元的還有台塑、中信金、
: : 兆豐金、玉山金、統一、台灣大、台化、元大金等個股。
: : 第2季以來,外資進出與美股脫鉤,5月…",,
tier:dense,2330,台積電,M.1707989041.A.EF0,2024-02-15 17:24:01,新聞,name,dense,False,4,[新聞] 2024想賺大錢？謝金河點名這6大地雷別踩,2,False,True,1034,"[簡稱(name)] …[新聞] 2024想賺大錢?謝金河點名這6大地雷別踩
連結:
https://reurl.cc/qraGz0
內文:
2024想賺大錢? 謝金河點名這6大地雷別踩

[財經中心/台北報導]台股與【台積電】今天股價創歷史新高,不過財信傳媒董事長謝金河在
《先探投資週刊》撰文提醒,2024年台股有六大地雷產業──水泥、鋼鐵、石化、紡織、
機械、金屬,仍深陷與中國的價格殺戮戰中,建議恐怕要先避開。

S&P500 升破5000點刷歷史新高,台股在…
[簡稱(name)] …陷與中國的價格殺戮戰中,建議恐怕要先避開。

S&P500 升破5000點刷歷史新高,台股在農曆年後的第一個交易日收盤大漲548.5點,上漲
點數為歷史第6高,收盤價1萬8644.57點及盤中1萬8725.47點雙雙創下歷史新高。護國神
山【台積電】盤中站上709元也是創下歷史新高。

但以今天台股大漲收紅來看,水泥指數、紡織、紡織、塑膠指數等也依然收黑。謝金河指
出,從產業的角度來看,台股的傳統產業連結中國,正處在量產殺戮狀態,這包括水泥、
鋼鐵、石化、紡織,一直到機械、金屬,這一系…",,
tier:dense,2330,台積電,M.1736231672.A.DF7,2025-01-07 14:34:32,新聞,name,dense,False,1,[新聞] 12檔台股ETF受益人創高 00919奪2024年度 人氣王 已刪文,1,False,True,1184,"[簡稱(name)] …束後,降息及企業重啟資本
支出帶動,12月為傳統歐美節慶銷售帶動股市,整體美國景氣仍具韌性且中國需求已見回
升,AI動能將於新平台推出後再次加速,有利於台股後市發展。
https://reurl.cc/O56v87
心得/評論:

ETF有【台積】的就有優勢,再來就是各家選股邏輯還是有差,
像919就明顯比936好,可以看出在盤整期,誰還能夠保持穩定,誰卻是慢慢盤跌就看的出來
919的選股還是不錯的

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 110.28.65.1…",,
tier:dense,2330,台積電,M.1620109136.A.A9E,2021-05-04 14:18:56,新聞,name,dense,False,1,[新聞] 【台積電前進鳳凰城】台積電美國5奈米廠 完成首批250名招募,18,False,True,1710,"[簡稱(name)] …[新聞] 【【台積電】前進鳳凰城】台積電美國5奈米廠 完成首批250名招募
原文標題:
【台積電前進鳳凰城】台積電美國5奈米廠完成首批250名招募
(請勿刪減原文標題)
原文連結:
https://bit.ly/3bhYGEn
(請善用縮網址工具)
發布時間:…
[簡稱(name)] …[新聞] 【台積電前進鳳凰城】【台積電】美國5奈米廠 完成首批250名招募
原文標題:
【台積電前進鳳凰城】台積電美國5奈米廠完成首批250名招募
(請勿刪減原文標題)
原文連結:
https://bit.ly/3bhYGEn
(請善用縮網址工具)
發布時間:
2021年5月4日…
[簡稱(name)] …[新聞] 【台積電前進鳳凰城】台積電美國5奈米廠 完成首批250名招募
原文標題:
【【台積電】前進鳳凰城】台積電美國5奈米廠完成首批250名招募
(請勿刪減原文標題)
原文連結:
https://bit.ly/3bhYGEn
(請善用縮網址工具)
發布時間:
2021年5月4日
(請以原文網頁/報紙之發布時間為準)
原文內容:
台積…",,
tier:dense,2327,國巨*,M.1609984818.A.02C,2021-01-07 10:00:18,新聞,code,dense,False,3,[新聞] 被動元件人踩人翻版？PTT股板瘋航運 泡沫,4,True,True,1139,"[代號] …鎖死跌10%,最後股價最高的萬海今天也重跌7.8%,台股在萬五創新高之際,貨櫃三雄卻出現敗象,原因可能就像2018年的被動元件!

當初的被動元件,也是從銅板股開始飆翻天,缺貨、漲價、供需無解等題材把股價拱上天,每個股民恨不得手上沒有國巨(【2327】)和華新科(2492),到2018年7月,國巨飆上1310元新天價,華新科也攀上491.5元的歷史高。但當時被動元件的高EPS,卻讓很多人套在最高點,眼睜睜的看著股價自由落體,本益比低到不行, 2018年國巨EPS達80.3元,但當年12月…
[簡稱(name_with_context)] …卻跌停鎖死跌10%,最後股價最高的萬海今天也重跌7.8%,台股在萬五創新高之際,貨櫃三雄卻出現敗象,原因可能就像2018年的被動元件!

當初的被動元件,也是從銅板股開始飆翻天,缺貨、漲價、供需無解等題材把股價拱上天,每個股民恨不得手上沒有【國巨】(2327)和華新科(2492),到2018年7月,國巨飆上1310元新天價,華新科也攀上491.5元的歷史高。但當時被動元件的高EPS,卻讓很多人套在最高點,眼睜睜的看著股價自由落體,本益比低到不行, 2018年國巨EPS達80.3元,但…
[簡稱(name_with_context)] …,台股在萬五創新高之際,貨櫃三雄卻出現敗象,原因可能就像2018年的被動元件!

當初的被動元件,也是從銅板股開始飆翻天,缺貨、漲價、供需無解等題材把股價拱上天,每個股民恨不得手上沒有國巨(2327)和華新科(2492),到2018年7月,【國巨】飆上1310元新天價,華新科也攀上491.5元的歷史高。但當時被動元件的高EPS,卻讓很多人套在最高點,眼睜睜的看著股價自由落體,本益比低到不行, 2018年國巨EPS達80.3元,但當年12月的股價僅319元,本益比跌到不到4倍,進場還以…",,
tier:dense,2308,台達電,M.1732863838.A.9C5,2024-11-29 15:03:58,新聞,name,dense,False,4,[新聞]摩通送暖 2理由升評台股 點名15檔尖兵,1,False,True,1333,"[簡稱(name)] …AI上檔空間、靈活應
對關稅,若陸股彈升對台股也有利,現階段來看,在利率相對高(higher for longer)
或是國際資金抽離新興市場與亞股環境中,台股抵禦能力亦較突出。

摩根大通看多台股15檔尖兵有:台積電、鴻海、富邦金、廣達、【台達電】、日月光投控、聯
電、統一、華碩、長榮、緯穎、凱基金、奇鋐、信驊、台光電;其中,僅聯電投資評等為
「中立」,其餘皆為「優於大盤」。

有趣的是,摩根大通觀察到,經驗顯示,亞股中連續繳出優異表現的市場好光景平均可延
續約七年,目前台股、印度股…",,
tier:dense,2303,聯電,M.1591678581.A.884,2020-06-09 12:56:21,標的,name_with_context,dense,False,1,Re: [標的] (多)聯電,2,False,True,30,"[簡稱(name_with_context)] …Re: [標的] (多)【聯電】
聯電出場
https://imgur.com/YbPMHQ0…
[簡稱(name_with_context)] …Re: [標的] (多)聯電
【聯電】出場
https://imgur.com/YbPMHQ0…",,
tier:dense,2330,台積電,M.1611248505.A.15C,2021-01-22 01:01:45,標的,code,dense,False,1,[標的] 台積電 處置多 已刪文,3,True,True,227,"[代號] …[標的] 台積電 處置多 已刪文
標的: 【2330】 台積電
分類:多
分析/正文:
散戶瘋狂買進
新聞接連不斷,肯德基爺爺也說要有信心
外資狂賣也只是嚇散戶而已
這種穩健股通常買了就放很久領股息
拜登上任之後台美關係更友好

進退場機制:
處置前一天停利
停損不可能

--
※ 發信站:…
[簡稱(name)] …[標的] 【台積電】 處置多 已刪文
標的: 2330 台積電
分類:多
分析/正文:
散戶瘋狂買進
新聞接連不斷,肯德基爺爺也說要有信心
外資狂賣也只是嚇散戶而已
這種穩健股通常買了就放很久領股息
拜登上任之後台美關係更友好

進退場機制:
處置前一天停利…
[簡稱(name)] …[標的] 台積電 處置多 已刪文
標的: 2330 【台積電】
分類:多
分析/正文:
散戶瘋狂買進
新聞接連不斷,肯德基爺爺也說要有信心
外資狂賣也只是嚇散戶而已
這種穩健股通常買了就放很久領股息
拜登上任之後台美關係更友好

進退場機制:
處置前一天停利
停損不可能

--
※ 發信站: 批踢踢實…",,
tier:dense,2330,台積電,M.1611013351.A.D41,2021-01-19 07:42:31,心得,name,dense,False,2,Re: [心得] 除了台積電.台灣那一家企業不能倒？,2,False,True,121,"[簡稱(name)] …Re: [心得] 除了【台積電】.台灣那一家企業不能倒?
鴻海大概也大到不能倒了,雖然他很多工作機會在海外,但稅還是繳給台灣。

光2020/12,鴻海營收就7000多億。
我有看錯嗎?真猛

台積電營收每個月大概1000多億。

鴻海
https://i.imgur.c…
[簡稱(name)] …Re: [心得] 除了台積電.台灣那一家企業不能倒?
鴻海大概也大到不能倒了,雖然他很多工作機會在海外,但稅還是繳給台灣。

光2020/12,鴻海營收就7000多億。
我有看錯嗎?真猛

【台積電】營收每個月大概1000多億。

鴻海
https://i.imgur.com/DHeUfEx.jpg…",,
