article_id,title,parsed_category,parsed_is_reply,independent_category,independent_is_reply,category_agree,reply_agree,both_agree,has_tag,in_whitelist
M.1699871383.A.F34,[情報] 9945 潤泰新 累計Q3 3.67,情報,False,情報,False,True,True,True,True,True
M.1616341952.A.4EB,[標的] [標的]2330台積電多單戶請跟我一起寫信,標的,False,標的,False,True,True,True,True,True
M.1463279392.A.8F9,[新聞] 驚！亞泥提列71億資產減損 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1728448122.A.635,[新聞] 日股Q4持續看俏 汽車.科技.零售業最看好,新聞,False,新聞,False,True,True,True,True,True
M.1563440926.A.621,[其他] 傑克戴成霖老師講座 已刪文,其他,False,其他,False,True,True,True,True,True
M.1597648519.A.776,[新聞] 豆府奪上半年餐飲獲利王 股價飆高,新聞,False,新聞,False,True,True,True,True,True
M.1733879531.A.BA9,[標的] 00955 多 已刪文,標的,False,標的,False,True,True,True,True,True
M.1584527855.A.5B9,Re: [其他] 存股族都不會不安嗎?,其他,True,其他,True,True,True,True,True,True
M.1633083670.A.39D,［創作］抬～抬唷 （台語） 已刪文,未分類,False,未分類,False,True,True,True,False,False
M.1514289035.A.7A0,[新聞] 《電腦設備》產線調整，倫飛昆山即起暫 停工 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1559044676.A.5AE,差一點畢業。當下快當沖 已刪文,未分類,False,未分類,False,True,True,True,False,False
M.1572351407.A.6F9,[標的] 原相3227,標的,False,標的,False,True,True,True,True,True
M.1474514721.A.E2A,[新聞] 市場看微星，千億年營收 百元身價 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1446091809.A.990,[新聞] Acer 首款電動車竟然是輛沙灘車 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1579857810.A.946,[新聞] 觀光局：全國旅行社即起暫停出團大陸,新聞,False,新聞,False,True,True,True,True,True
M.1606793866.A.8B8,[標的] 每到年線必拉回強空hTC（強空）,標的,False,標的,False,True,True,True,True,True
M.1498247269.A.F0E,Re: [新聞] 台灣「低物價」妨礙薪資上漲？　彭淮南駁 斥 已刪文,新聞,True,新聞,True,True,True,True,True,True
M.1597235629.A.713,[新聞] 和碩、鎧勝停牌與立訊無關 傳將進行內部.,新聞,False,新聞,False,True,True,True,True,True
M.1725870875.A.8C1,[新聞] 高於預期！8月出口436.4億美元 創單月新高,新聞,False,新聞,False,True,True,True,True,True
M.1608350155.A.1DE,[新聞] 哈佛學者呼籲禁止特斯拉用車主實驗自駕車,新聞,False,新聞,False,True,True,True,True,True
M.1597312109.A.F3C,Re: [新聞] 鎧勝-KY 重訊13日停牌,新聞,True,新聞,True,True,True,True,True,True
M.1468875734.A.D7C,[請益] 請教eps預估 已刪文,請益,False,請益,False,True,True,True,True,True
M.1627864781.A.5F6,[標的] 明安（奧運高爾夫慶祝行情）,標的,False,標的,False,True,True,True,True,True
M.1439972571.A.7E8,[其他] 期貨新開 已刪文,其他,False,其他,False,True,True,True,True,True
M.1646533526.A.1A9,Re: [標的] 大盤 四大皆空 追名空 艙緊空,標的,True,標的,True,True,True,True,True,True
M.1639623426.A.C0C,[新聞] 海運轉空運 中菲行、捷迅、台驊沾光,新聞,False,新聞,False,True,True,True,True,True
M.1535794619.A.998,Re: [新聞] 川普點名Google、揚言制裁，因為搜尋結果 已刪文,新聞,True,新聞,True,True,True,True,True,True
M.1737248286.A.2C2,Re: [請益] 怎麼想都覺得買債券eft不通？,請益,True,請益,True,True,True,True,True,True
M.1568767657.A.515,Re: [新聞] 從納智捷轉型看國產車困境,新聞,True,新聞,True,True,True,True,True,True
M.1487640027.A.DAB,[新聞] 環署：台塑應回應環評 別搞出走 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1726409328.A.8BC,Re: [新聞] 中國實現國產DUV曝光機 可生產8奈米及以 下晶片,新聞,True,新聞,True,True,True,True,True,True
