ticker,name_short,venue,source,official_abbreviation,name_matches_official,listing_date,is_ky
1101,台泥,TWSE,TWSE t187ap03_L,台泥,1,1962-02-09,0
1102,亞泥,TWSE,TWSE t187ap03_L,亞泥,1,1962-06-08,0
1103,嘉泥,TWSE,TWSE t187ap03_L,嘉泥,1,1969-11-14,0
1104,環泥,TWSE,TWSE t187ap03_L,環泥,1,1971-02-01,0
1108,幸福,TWSE,TWSE t187ap03_L,幸福,1,1990-06-06,0
1109,信大,TWSE,TWSE t187ap03_L,信大,1,1991-12-05,0
1110,東泥,TWSE,TWSE t187ap03_L,東泥,1,1994-10-22,0
1201,味全,TWSE,TWSE t187ap03_L,味全,1,1962-02-09,0
1203,味王,TWSE,TWSE t187ap03_L,味王,1,1964-08-24,0
1210,大成,TWSE,TWSE t187ap03_L,大成,1,1978-05-20,0
1213,大飲,TWSE,TWSE t187ap03_L,大飲,1,1981-04-10,0
1215,卜蜂,TWSE,TWSE t187ap03_L,卜蜂,1,1987-07-27,0
1216,統一,TWSE,TWSE t187ap03_L,統一,1,1987-12-28,0
1217,愛之味,TWSE,TWSE t187ap03_L,愛之味,1,1989-10-28,0
1218,泰山,TWSE,TWSE t187ap03_L,泰山,1,1989-11-11,0
1219,福壽,TWSE,TWSE t187ap03_L,福壽,1,1990-12-01,0
1220,台榮,TWSE,TWSE t187ap03_L,台榮,1,1991-11-20,0
1301,台塑,TWSE,TWSE t187ap03_L,台塑,1,1964-07-27,0
1303,南亞,TWSE,TWSE t187ap03_L,南亞,1,1967-11-15,0
1304,台聚,TWSE,TWSE t187ap03_L,台聚,1,1972-05-20,0
1305,華夏,TWSE,TWSE t187ap03_L,華夏,1,1973-03-05,0
1307,三芳,TWSE,TWSE t187ap03_L,三芳,1,1985-11-23,0
1308,亞聚,TWSE,TWSE t187ap03_L,亞聚,1,1986-06-20,0
1309,台達化,TWSE,TWSE t187ap03_L,台達化,1,1986-06-27,0
1310,台苯,TWSE,TWSE t187ap03_L,台苯,1,1987-08-06,0
1312,國喬,TWSE,TWSE t187ap03_L,國喬,1,1988-12-21,0
1313,聯成,TWSE,TWSE t187ap03_L,聯成,1,1989-03-27,0
1319,東陽,TWSE,TWSE t187ap03_L,東陽,1,1994-12-12,0
1338,廣華-KY,TWSE,TWSE t187ap03_L,廣華-KY,1,2012-12-19,1
1339,昭輝,TWSE,TWSE t187ap03_L,昭輝,1,2012-04-24,0
1512,瑞利,TWSE,TWSE t187ap03_L,瑞利,1,1994-01-28,0
1521,大億,TWSE,TWSE t187ap03_L,大億,1,1997-10-06,0
1522,堤維西,TWSE,TWSE t187ap03_L,堤維西,1,1997-10-06,0
1524,耿鼎,TWSE,TWSE t187ap03_L,耿鼎,1,1998-10-30,0
1525,江申,TWSE,TWSE t187ap03_L,江申,1,1999-05-15,0
1533,車王電,TWSE,TWSE t187ap03_L,車王電,1,2001-04-06,0
1536,和大,TWSE,TWSE t187ap03_L,和大,1,2001-09-17,0
1402,遠東新,TWSE,TWSE t187ap03_L,遠東新,1,1967-04-14,0
1409,新纖,TWSE,TWSE t187ap03_L,新纖,1,1973-08-31,0
1410,南染,TWSE,TWSE t187ap03_L,南染,1,1973-10-18,0
1413,宏洲,TWSE,TWSE t187ap03_L,宏洲,1,1975-12-23,0
1414,東和,TWSE,TWSE t187ap03_L,東和,1,1976-02-02,0
1417,嘉裕,TWSE,TWSE t187ap03_L,嘉裕,1,1976-12-28,0
1418,東華,TWSE,TWSE t187ap03_L,東華,1,1977-02-14,0
1419,新紡,TWSE,TWSE t187ap03_L,新紡,1,1977-03-14,0
1423,利華,TWSE,TWSE t187ap03_L,利華,1,1979-04-02,0
1434,福懋,TWSE,TWSE t187ap03_L,福懋,1,1985-12-24,0
