ticker,venue,effective_from,effective_to
1101,TWSE,1962-02-09,
1102,TWSE,1962-06-08,
1103,TWSE,1969-11-14,
1104,TWSE,1971-02-01,
1108,TWSE,1990-06-06,
1109,TWSE,1991-12-05,
1110,TWSE,1994-10-22,
1201,TWSE,1962-02-09,
1203,TWSE,1964-08-24,
1210,TWSE,1978-05-20,
1213,TWSE,1981-04-10,
1215,TWSE,1987-07-27,
1216,TWSE,1987-12-28,
1217,TWSE,1989-10-28,
1218,TWSE,1989-11-11,
1219,TWSE,1990-12-01,
1220,TWSE,1991-11-20,
1301,TWSE,1964-07-27,
1303,TWSE,1967-11-15,
1304,TWSE,1972-05-20,
1305,TWSE,1973-03-05,
1307,TWSE,1985-11-23,
1308,TWSE,1986-06-20,
1309,TWSE,1986-06-27,
1310,TWSE,1987-08-06,
1312,TWSE,1988-12-21,
1313,TWSE,1989-03-27,
1319,TWSE,1994-12-12,
1338,TWSE,2012-12-19,
1339,TWSE,2012-04-24,
1512,TWSE,1994-01-28,
1521,TWSE,1997-10-06,
1522,TWSE,1997-10-06,
1524,TWSE,1998-10-30,
1525,TWSE,1999-05-15,
1533,TWSE,2001-04-06,
1536,TWSE,2001-09-17,
1402,TWSE,1967-04-14,
1409,TWSE,1973-08-31,
1410,TWSE,1973-10-18,
1413,TWSE,1975-12-23,
1414,TWSE,1976-02-02,
1417,TWSE,1976-12-28,
1418,TWSE,1977-02-14,
1419,TWSE,1977-03-14,
1423,TWSE,1979-04-02,
1434,TWSE,1985-12-24,
1432,TWSE,1982-07-26,
1598,TWSE,2016-09-20,
1736,TWSE,2003-01-09,
2762,TWSE,2024-01-24,
4536,TWSE,2013-10-09,
5306,TWSE,2022-03-08,
6670,TWSE,2018-12-18,
6768,TWSE,2021-04-22,
6890,TWSE,2024-06-12,
6965,TWSE,2025-03-07,
1471,TWSE,2000-03-06,
1582,TWSE,2009-12-17,
2059,TWSE,2008-06-25,
2308,TWSE,1988-12-19,
2313,TWSE,1990-07-24,
2316,TWSE,1991-02-05,
2327,TWSE,1993-10-22,
2328,TWSE,1993-11-09,
2355,TWSE,1996-10-14,
2367,TWSE,1997-12-13,
1503,TWSE,1969-12-15,
1504,TWSE,1973-11-05,
1506,TWSE,1980-08-11,
1513,TWSE,1994-03-08,
1514,TWSE,1994-03-26,
1515,TWSE,1995-02-04,
1517,TWSE,1995-11-14,
1519,TWSE,1997-04-16,
1526,TWSE,2000-03-27,
1527,TWSE,2000-06-21,
1603,TWSE,1968-06-03,
1604,TWSE,1970-12-14,
1605,TWSE,1972-11-03,
1608,TWSE,1988-07-11,
1609,TWSE,1988-12-12,
1611,TWSE,1990-01-16,
1612,TWSE,1993-05-08,
1614,TWSE,1997-09-18,
1615,TWSE,2000-03-30,
1616,TWSE,2000-09-11,
1707,TWSE,1982-12-20,
1720,TWSE,1995-12-12,
1731,TWSE,2001-09-17,
1733,TWSE,2001-09-17,
1734,TWSE,2002-08-26,
1752,TWSE,2022-01-19,
1760,TWSE,2018-01-23,
1762,TWSE,2010-12-20,
1783,TWSE,2013-12-20,
1786,TWSE,2013-11-12,
1708,TWSE,1986-06-16,
1709,TWSE,1986-07-03,
1710,TWSE,1987-10-21,
1711,TWSE,1988-12-27,
1712,TWSE,1989-12-14,
1713,TWSE,1990-01-31,
1714,TWSE,1991-08-30,
1717,TWSE,1994-03-31,
1718,TWSE,1963-12-02,
1721,TWSE,1996-05-16,
1802,TWSE,1973-07-20,
1806,TWSE,1992-09-29,
1809,TWSE,1996-04-30,
1810,TWSE,1991-10-14,
1817,TWSE,2013-10-24,
1903,TWSE,1963-12-09,
1904,TWSE,1971-09-10,
1905,TWSE,1975-02-07,
1906,TWSE,1976-04-26,
1907,TWSE,1977-02-22,
1909,TWSE,1985-11-19,
6790,TWSE,2021-09-29,
2002,TWSE,1974-12-26,
2006,TWSE,1988-07-13,
2007,TWSE,1988-10-04,
2008,TWSE,1988-12-28,
2009,TWSE,1989-10-20,
2010,TWSE,1989-12-22,
2012,TWSE,1991-10-17,
2013,TWSE,1992-01-21,
2014,TWSE,1992-02-20,
2015,TWSE,1992-05-25,
2062,TWSE,2007-11-16,
3557,TWSE,2008-02-27,
6671,TWSE,2018-12-11,
6754,TWSE,2020-08-25,
6807,TWSE,2022-04-25,
8464,TWSE,2015-12-22,
8482,TWSE,2018-08-15,
9911,TWSE,1992-07-16,
9924,TWSE,1995-03-15,
9934,TWSE,2000-09-11,
2072,TWSE,2026-03-26,
3708,TWSE,2016-08-31,
5292,TWSE,2023-11-21,
6581,TWSE,2018-01-30,
6641,TWSE,2018-09-21,
6869,TWSE,2023-03-14,
6873,TWSE,2024-09-26,
6887,TWSE,2025-03-10,
6923,TWSE,2024-09-25,
6944,TWSE,2025-05-28,
2101,TWSE,1963-11-01,
2102,TWSE,1979-07-16,
2103,TWSE,1982-09-25,
2104,TWSE,1986-07-15,
2105,TWSE,1987-12-07,
2106,TWSE,1990-12-20,
2107,TWSE,1992-03-03,
2108,TWSE,1992-10-27,
2109,TWSE,2000-05-08,
2114,TWSE,2010-12-29,
2208,TWSE,2008-12-22,
2601,TWSE,1965-11-04,
2603,TWSE,1987-09-21,
2605,TWSE,1989-12-08,
2606,TWSE,1990-12-08,
2607,TWSE,1990-12-14,
2608,TWSE,1990-12-20,
2609,TWSE,1992-04-20,
2610,TWSE,1993-02-26,
2611,TWSE,1993-10-28,
2302,TWSE,1985-01-15,
2303,TWSE,1985-07-16,
2329,TWSE,1994-04-20,
2330,TWSE,1994-09-05,
2337,TWSE,1995-03-15,
2338,TWSE,1995-04-17,
2340,TWSE,1995-05-02,
2342,TWSE,1995-09-19,
2344,TWSE,1995-10-18,
2351,TWSE,1996-04-25,
2312,TWSE,1989-11-07,
2317,TWSE,1991-06-18,
2354,TWSE,1996-10-08,
2359,TWSE,1996-12-19,
2360,TWSE,1996-12-21,
2373,TWSE,1991-08-01,
2390,TWSE,1999-06-15,
2404,TWSE,2000-03-14,
2423,TWSE,2000-09-11,
2433,TWSE,2000-09-11,
2323,TWSE,1992-02-17,
2349,TWSE,1996-04-23,
2374,TWSE,1995-01-16,
2393,TWSE,1999-11-04,
2406,TWSE,2000-04-29,
2409,TWSE,2000-09-08,
2426,TWSE,2000-09-11,
2429,TWSE,2000-09-11,
2438,TWSE,2000-09-11,
2466,TWSE,2001-09-17,
2347,TWSE,1995-12-13,
2414,TWSE,2000-09-11,
2430,TWSE,2000-09-11,
3010,TWSE,2002-07-22,
3028,TWSE,2002-08-26,
3033,TWSE,2002-08-26,
3036,TWSE,2002-08-26,
3048,TWSE,2002-10-01,
3054,TWSE,2002-11-18,
3055,TWSE,2002-12-12,
2427,TWSE,2000-09-11,
2453,TWSE,2001-05-22,
2468,TWSE,2001-09-17,
2471,TWSE,2001-09-17,
2480,TWSE,2001-09-17,
3029,TWSE,2002-08-26,
4994,TWSE,2013-12-25,
5203,TWSE,2004-09-27,
6112,TWSE,2003-08-04,
6183,TWSE,2011-12-01,
2616,TWSE,1997-11-08,
6505,TWSE,2003-12-26,
8926,TWSE,2003-08-25,
9908,TWSE,1991-02-06,
9918,TWSE,1994-04-26,
9926,TWSE,1998-04-08,
9931,TWSE,2000-03-21,
9937,TWSE,2000-09-11,
2701,TWSE,1965-03-22,
2702,TWSE,1965-02-14,
2704,TWSE,1982-11-10,
2705,TWSE,1988-12-24,
2706,TWSE,1991-06-25,
2707,TWSE,1998-03-09,
2712,TWSE,2013-12-03,
2722,TWSE,2012-03-14,
2723,TWSE,2010-11-22,
2727,TWSE,2012-03-06,
2801,TWSE,1962-02-15,
2812,TWSE,1984-05-15,
2816,TWSE,1992-05-05,
2820,TWSE,1994-10-26,
2832,TWSE,1997-09-30,
2834,TWSE,1998-01-03,
2836,TWSE,1998-05-18,
2838,TWSE,1998-06-29,
2845,TWSE,1998-11-27,
2849,TWSE,1999-09-27,
2901,TWSE,1976-05-07,
2903,TWSE,1978-10-11,
2905,TWSE,1988-09-19,
2906,TWSE,1989-12-26,
2908,TWSE,1993-02-18,
2910,TWSE,1996-12-30,
2911,TWSE,1997-01-18,
2912,TWSE,1997-08-22,
2913,TWSE,1962-02-09,
2915,TWSE,1977-07-20,
3130,TWSE,2006-02-17,
6165,TWSE,2003-08-04,
6614,TWSE,2025-11-25,
6689,TWSE,2022-09-13,
6902,TWSE,2023-07-13,
6906,TWSE,2024-01-15,
7721,TWSE,2025-07-29,
7722,TWSE,2024-12-05,
7765,TWSE,2025-09-08,
8454,TWSE,2014-12-19,
