ticker,name_short,sector,listing_date,delisting_date,venue,is_ky,registration
1101,台泥,水泥,1962-02-09,,TWSE,0,－
1102,亞泥,水泥,1962-06-08,,TWSE,0,－
1103,嘉泥,水泥,1969-11-14,,TWSE,0,－
1104,環泥,水泥,1971-02-01,,TWSE,0,－
1108,幸福,水泥,1990-06-06,,TWSE,0,－
1109,信大,水泥,1991-12-05,,TWSE,0,－
1110,東泥,水泥,1994-10-22,,TWSE,0,－
1201,味全,食品,1962-02-09,,TWSE,0,－
1203,味王,食品,1964-08-24,,TWSE,0,－
1210,大成,食品,1978-05-20,,TWSE,0,－
1213,大飲,食品,1981-04-10,,TWSE,0,－
1215,卜蜂,食品,1987-07-27,,TWSE,0,－
1216,統一,食品,1987-12-28,,TWSE,0,－
1217,愛之味,食品,1989-10-28,,TWSE,0,－
1218,泰山,食品,1989-11-11,,TWSE,0,－
1219,福壽,食品,1990-12-01,,TWSE,0,－
1220,台榮,食品,1991-11-20,,TWSE,0,－
1301,台塑,塑膠,1964-07-27,,TWSE,0,－
1303,南亞,塑膠,1967-11-15,,TWSE,0,－
1304,台聚,塑膠,1972-05-20,,TWSE,0,－
1305,華夏,塑膠,1973-03-05,,TWSE,0,－
1307,三芳,塑膠,1985-11-23,,TWSE,0,－
1308,亞聚,塑膠,1986-06-20,,TWSE,0,－
1309,台達化,塑膠,1986-06-27,,TWSE,0,－
1310,台苯,塑膠,1987-08-06,,TWSE,0,－
1312,國喬,塑膠,1988-12-21,,TWSE,0,－
1313,聯成,塑膠,1989-03-27,,TWSE,0,－
1319,東陽,汽車,1994-12-12,,TWSE,0,－
1338,廣華-KY,汽車,2012-12-19,,TWSE,1,KY 開曼群島
1339,昭輝,汽車,2012-04-24,,TWSE,0,－
1512,瑞利,汽車,1994-01-28,,TWSE,0,－
1521,大億,汽車,1997-10-06,,TWSE,0,－
1522,堤維西,汽車,1997-10-06,,TWSE,0,－
1524,耿鼎,汽車,1998-10-30,,TWSE,0,－
1525,江申,汽車,1999-05-15,,TWSE,0,－
1533,車王電,汽車,2001-04-06,,TWSE,0,－
1536,和大,汽車,2001-09-17,,TWSE,0,－
1402,遠東新,紡織,1967-04-14,,TWSE,0,－
1409,新纖,紡織,1973-08-31,,TWSE,0,－
1410,南染,紡織,1973-10-18,,TWSE,0,－
1413,宏洲,紡織,1975-12-23,,TWSE,0,－
1414,東和,紡織,1976-02-02,,TWSE,0,－
1417,嘉裕,紡織,1976-12-28,,TWSE,0,－
1418,東華,紡織,1977-02-14,,TWSE,0,－
1419,新紡,紡織,1977-03-14,,TWSE,0,－
1423,利華,紡織,1979-04-02,,TWSE,0,－
1434,福懋,紡織,1985-12-24,,TWSE,0,－
1432,大魯閣,運動休閒,1982-07-26,,TWSE,0,－
1598,岱宇,運動休閒,2016-09-20,,TWSE,0,－
1736,喬山,運動休閒,2003-01-09,,TWSE,0,－
2762,世界健身-KY,運動休閒,2024-01-24,,TWSE,1,KY 開曼群島
4536,拓凱,運動休閒,2013-10-09,,TWSE,0,－
5306,桂盟,運動休閒,2022-03-08,,TWSE,0,－
6670,復盛應用,運動休閒,2018-12-18,,TWSE,0,－
6768,志強-KY,運動休閒,2021-04-22,,TWSE,1,KY 開曼群島
6890,來億-KY,運動休閒,2024-06-12,,TWSE,1,KY 開曼群島
6965,中傑-KY,運動休閒,2025-03-07,,TWSE,1,KY 開曼群島
1471,首利,電子零組件,2000-03-06,,TWSE,0,－
1582,信錦,電子零組件,2009-12-17,,TWSE,0,－
2059,川湖,電子零組件,2008-06-25,,TWSE,0,－
2308,台達電,電子零組件,1988-12-19,,TWSE,0,－
2313,華通,電子零組件,1990-07-24,,TWSE,0,－
2316,楠梓電,電子零組件,1991-02-05,,TWSE,0,－
2327,國巨*,電子零組件,1993-10-22,,TWSE,0,－
2328,廣宇,電子零組件,1993-11-09,,TWSE,0,－
2355,敬鵬,電子零組件,1996-10-14,,TWSE,0,－
2367,燿華,電子零組件,1997-12-13,,TWSE,0,－
1503,士電,電機機械,1969-12-15,,TWSE,0,－
1504,東元,電機機械,1973-11-05,,TWSE,0,－
1506,正道,電機機械,1980-08-11,,TWSE,0,－
1513,中興電,電機機械,1994-03-08,,TWSE,0,－
1514,亞力,電機機械,1994-03-26,,TWSE,0,－
1515,力山,電機機械,1995-02-04,,TWSE,0,－
1517,利奇,電機機械,1995-11-14,,TWSE,0,－
1519,華城,電機機械,1997-04-16,,TWSE,0,－
1526,日馳,電機機械,2000-03-27,,TWSE,0,－
