model,status,term,coef,se,t,p,n_obs,n_entities,n_periods,r2_within,diagnostic,note,tier_composition
R15 門檻 ≤5 檔/篇,OK,abn_attention_weekday,-2.019558695097344e-05,0.00018803592969822127,-0.10740280851316726,0.9144697341174286,70789,254,478,0.0017495065880624994,True,,dense=5112;sparse=65677
R15 門檻 ≤5 檔/篇,OK,abn_attention_weekend,0.0002863324018981767,0.0002593733562015248,1.1039391481509984,0.2696233275625384,70789,254,478,0.0017495065880624994,True,,dense=5112;sparse=65677
R15 門檻 ≤5 檔/篇,OK,att_zero_base,0.00034127320011325535,0.00035025003927464894,0.9743701979877456,0.32987612597462235,70789,254,478,0.0017495065880624994,True,,dense=5112;sparse=65677
R15 門檻 ≤5 檔/篇,OK,ret_lag1,0.00021907187785553993,0.0004381050085154011,0.5000442213566675,0.6170455109829258,70789,254,478,0.0017495065880624994,True,,dense=5112;sparse=65677
R15 門檻 ≤5 檔/篇,OK,ret_lag4,-0.00023612695799596266,0.00046669027913668004,-0.505960737885453,0.6128858044966332,70789,254,478,0.0017495065880624994,True,,dense=5112;sparse=65677
R15 門檻 ≤5 檔/篇,OK,ret_lag25,0.00029856540256935175,0.0004252620344190828,0.7020739647666846,0.48263537051693906,70789,254,478,0.0017495065880624994,True,,dense=5112;sparse=65677
R15 門檻 ≤5 檔/篇,OK,log_market_cap,-0.003818903253909847,0.0008867339135144196,-4.306707114397228,1.659278688559418e-05,70789,254,478,0.0017495065880624994,True,,dense=5112;sparse=65677
R15 門檻 ≤5 檔/篇,OK,turnover,-0.0009366619964253247,0.0004158122353339234,-2.252608068815306,0.024286953770851882,70789,254,478,0.0017495065880624994,True,,dense=5112;sparse=65677
R15 門檻 ≤5 檔/篇,OK,amihud,-5.199064129800853e-05,0.00022329807766295295,-0.23283067119137235,0.8158935754439747,70789,254,478,0.0017495065880624994,True,,dense=5112;sparse=65677
R15 門檻 ≤5 檔/篇,OK,foreign_holding_pct,0.0012990776487145671,0.0007402410071821955,1.7549387781955523,0.07927415159912266,70789,254,478,0.0017495065880624994,True,,dense=5112;sparse=65677
