model,status,term,coef,se,t,p,n_obs,n_entities,n_periods,r2_within,diagnostic,note,tier_composition
T10 補班日交互項,OK,abn_attention_weekend,0.0004384306291540091,0.00026454941007447074,1.6572731310593012,0.0974681237011874,82079,256,478,0.0018758433178255318,True,,dense=6623;sparse=75456
T10 補班日交互項,OK,interaction,-0.0008737652645070149,0.0005930282256268269,-1.4733957453432351,0.14064822670091393,82079,256,478,0.0018758433178255318,True,,dense=6623;sparse=75456
T10 補班日交互項,OK,att_zero_base,0.00034206195551302466,0.00033197814918283175,1.030374909779497,0.3028371104648815,82079,256,478,0.0018758433178255318,True,,dense=6623;sparse=75456
T10 補班日交互項,OK,ret_lag1,0.00021897959792063323,0.00040938903713185176,0.5348936538574348,0.5927248590966263,82079,256,478,0.0018758433178255318,True,,dense=6623;sparse=75456
T10 補班日交互項,OK,ret_lag4,-0.0003160766472654184,0.0004464645763643022,-0.7079545925890187,0.4789754846036951,82079,256,478,0.0018758433178255318,True,,dense=6623;sparse=75456
T10 補班日交互項,OK,ret_lag25,0.00040401359354391876,0.0003972793458100413,1.0169509132677073,0.30917980623517627,82079,256,478,0.0018758433178255318,True,,dense=6623;sparse=75456
T10 補班日交互項,OK,log_market_cap,-0.003617047222659315,0.0007587469130993248,-4.767132702898813,1.8718876921841598e-06,82079,256,478,0.0018758433178255318,True,,dense=6623;sparse=75456
T10 補班日交互項,OK,turnover,-0.0009610789910219861,0.0003889993982724199,-2.4706439014821653,0.013489038847497303,82079,256,478,0.0018758433178255318,True,,dense=6623;sparse=75456
T10 補班日交互項,OK,amihud,0.0001147242304271799,8.00332613582866e-05,1.433456896297047,0.1517311524885252,82079,256,478,0.0018758433178255318,True,,dense=6623;sparse=75456
T10 補班日交互項,OK,foreign_holding_pct,0.0013660343396815669,0.0006976391287887887,1.9580815973628336,0.05022385213595926,82079,256,478,0.0018758433178255318,True,,dense=6623;sparse=75456
