check,status,n_obs,n_tickers,n_weeks,beta_focus,t_focus,p_focus,note
R1 稀疏門檻 dense≥30,OK,103515,258,478,0.00018866011839046697,0.7562409236655578,0.4495064941024982,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct
R1 稀疏門檻 dense≥35,OK,103515,258,478,0.00022984746714679606,0.9131201327865421,0.361181504889855,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct
R1 稀疏門檻 dense≥40,OK,103515,258,478,0.00022851804089584935,0.8874490842979811,0.37483924384602885,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct
R1 稀疏門檻 dense≥45,OK,103515,258,478,0.0002541559362052478,1.0113743254231615,0.3118396857541339,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct
R1 稀疏門檻 dense≥50,OK,103515,258,478,0.0002610611548275493,1.0632678938636484,0.28766297898332405,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct
R2 排除通用詞降級股,OK,84731,209,478,0.00038243815160718983,1.3328252661511213,0.1825927656256563,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct
R2 含全部（對照）,OK,103515,258,478,0.00022851804089584935,0.8874490842979811,0.37483924384602885,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct
R3 排除 TPEx,SKIPPED,0,0,0,,,,本宇宙 267 檔全為 TWSE 上市，無 TPEx 個股，此項不適用（PRD 假設與實得清單不符）
R4 排除 -KY,OK,101901,249,478,0.0002515194581871967,0.9685014759654705,0.3327962975492671,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct
R5 winsorize 1%/99%,OK,103515,258,478,0.0001796816979010596,1.015929542683896,0.3096653310931645,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct
R6 漲跌幅 7% 期間,SKIPPED,0,0,1,,,,主樣本始於 2015-05，制度變更在 2015-06-01，7% 期間僅 1 週——此穩健性檢定在本樣本期間不可行
R6 漲跌幅 10% 期間,OK,103515,258,478,0.0002285175649259988,0.887446918545853,0.37484040939199637,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct
R7 正值限定關注度指標,SKIPPED,531,11,377,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
R8 交易時段切法,SKIPPED,0,0,0,,,,無有效觀測
R9 排除不完整週,OK,85644,258,396,0.00018895516044718433,0.7095329588866515,0.4779957526318084,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct
R10 sector_pit 對照,SKIPPED,0,0,0,,,,逐年當期產業分類（sector_pit）需 TWSE 歷年分類快照，目前只有 2026 年的現況分類；主規格以 sector_as_of_2023 執行並在 LIMITATIONS 揭露
R11 基準：週固定效果（主規格）,OK,103515,258,478,0.00022851804089584935,0.8874490842979811,0.37483924384602885,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct
R12 前半期,OK,50539,244,237,-0.00027764233244106484,-1.1702455570436983,0.24190773629965,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct
R12 後半期,OK,52976,258,241,0.0005834646518695652,1.5181263788078894,0.12898856725262053,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct
R12 逐筆交易後（2020-03 起）,OK,52733,258,240,0.0006642927666349407,1.7550311728165522,0.07925983846174756,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct
R13 僅樣本起始前已上市,OK,100056,235,478,0.0002729815350384468,1.024737206424577,0.3054896976730501,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct
R14 Yahoo 新聞管道,SKIPPED,0,0,0,,,,Yahoo 新聞管道依決策暫緩抓取（僅在 PTT 結果不佳時啟用），因此 §5.9 跨管道比較與 news_count 控制項本輪未執行
