item,paper_estimate,paper_se,paper_t,ours_estimate,ours_se,ours_t,ratio_ours_to_paper,verdict,scale,paper_source
"相關性 corr(整週, 週間)",0.9028,,,0.9391377242777624,,,1.0402500268916286,✅ 幾乎逐位數複製,相關係數,"Table 2, p.13"
"相關性 corr(整週, 週末)",0.3981,,,0.4027128054498576,,,1.0115870521222246,✅ 幾乎逐位數複製,相關係數,"Table 2, p.13"
H1 週末關注度 → 次週報酬,0.0068,0.0021,3.238095238095238,0.010765583602117716,0.005917030215981611,1.8194234623038423,1.5831740591349583,⚠️ 係數更大但精確度較低；用論文的 cluster 方式則顯著,應變數已標準化,"Table 3a 規格(4), p.15"
H1 週間關注度 → 次週報酬,0.0001,0.0022,0.045454545454545456,0.005331650849597346,0.00488869219945073,1.0906088238069855,,✅ 兩者皆不顯著,應變數已標準化,"Table 3a 規格(4), p.15"
H1 週末（改用論文的 cluster 方式）,0.0068,0.0021,3.238095238095238,0.010765583602117716,0.004554692375527259,2.3636247444420375,1.5831740591349583,✅ 在論文的推論標準下複製成功（p < 0.05）,應變數已標準化,"Table 3a 規格(4), p.15"
機制：週間 → 訂單失衡,0.12311,0.04041,3.046523137837169,-0.018936468390250892,0.00477623874477067,-3.9647240019112826,,✅ 皆顯著（**符號相反**：論文為散戶淨買，本研究殘差含大戶故為淨賣）,不可直接比：論文 DV 為 MROI×100 且測度不同,"Table 7 規格(4), p.21"
機制：週末 → 訂單失衡,0.03185,0.0449,0.7093541202672606,0.0013624109320411746,0.00390795302861091,0.34862520661499513,,✅ 兩者皆不顯著——這是排除價格壓力管道的核心證據,不可直接比：測度不同,"Table 7 規格(4), p.21"
機制：週末 → 異常周轉率,0.0049,0.0013,3.769230769230769,0.05489731657631638,0.01053283612514845,5.212016585470484,,✅ 皆顯著為正,不可直接比：本研究為 log1p 差分的異常周轉率,"Table 8 規格(4), p.23"
機制：週間 → 異常周轉率,-0.0018,0.0015,-1.2,0.11203356311811967,0.013669980460432052,8.19559058203502,,❌ **明確不同**：論文不顯著，本研究顯著為正且強於週末（台灣散戶當沖比重高的邊界條件）,不可直接比：本研究為 log1p 差分的異常周轉率,"Table 8 規格(4), p.23"
投資組合：等權多空（成本前，%/年）,2.92,,,5.08753941769892,,1.986670562680873,,⚠️ 本研究成本前更大，但為 ex-post universe 之機械年化,%/年,"Table 5a 敘述, p.17"
投資組合：等權多空（成本後，%/年）,,,,-25.20329347203356,,-9.753529684884558,,❌ **論文未報告成本後報酬**；台灣長尾股的成本吃光價差,%/年,論文無對應項
橫斷面：效果集中於小型／低覆蓋股,3.36,,,,,,,✅ 型態一致：論文小型半邊 3.36%** vs 大型 0.53 ns；本研究 sparse t=+2.01 vs dense t=−0.90,%/年（論文）,"Table 6a, p.20"
樣本規模（次週報酬迴歸）,255059.0,,,72414.0,,,,本研究為論文的 0.28 倍——標準誤因此大 1.9 倍,觀測數,"Table 3a, p.16"
