variable,count,mean,std,min,1%,25%,50%,75%,99%,max,n_missing,share_missing
att_all,123828.0,0.8409971896501599,5.717989932323175,0.0,0.0,0.0,0.0,0.0,12.0,459.0,0,0.0
att_weekend,123828.0,0.1237765287334044,1.059519381729549,0.0,0.0,0.0,0.0,0.0,2.0,90.0,0,0.0
att_weekday,123828.0,0.7172206609167555,4.799247983604345,0.0,0.0,0.0,0.0,0.0,11.0,369.0,0,0.0
abn_attention_all,121948.0,-1.365764928104735e-06,0.3683585439139582,-2.9215303195427635,-0.9171171142134522,-0.17328679513998632,0.0,0.0,1.1873569505247994,3.1585103299208153,1880,0.015182349710889298
abn_attention_weekend,121948.0,7.216715244798384e-05,0.18737719593218402,-2.4532664629085916,-0.44793986730701374,0.0,0.0,0.0,0.6931471805599453,2.3284439983917586,1880,0.015182349710889298
abn_attention_weekday,121948.0,1.7362793446624244e-05,0.3525312638923554,-2.823918517962748,-0.8923583749931905,-0.13732653608351372,0.0,0.0,1.1623244274663835,3.1714531404514887,1880,0.015182349710889298
ret,122451.0,0.0009832704352217092,0.04251284220056868,-0.3992700729927007,-0.10905085873845993,-0.016501650165016535,0.0,0.015325670498084198,0.1412736428395971,0.5999999999999999,1377,0.011120263591433279
ret_next,122192.0,0.0009724521986693792,0.04245944229263844,-0.3992700729927007,-0.10892158555187982,-0.016518424396442244,0.0,0.015306122448979498,0.14122186407640136,0.5970873786407767,1636,0.013211874535646219
non_inst_roi,111453.0,0.008820151167228864,0.13795453075378747,-0.9627085248916327,-0.3891645074647421,-0.04821925283572775,0.002729590397664926,0.06121492879960709,0.43586281557392115,0.9813796131298262,12375,0.09993700940013567
non_inst_roi_next,111202.0,0.009113961643130797,0.13771939040136924,-0.9627085248916327,-0.38700115799724666,-0.04793886219594806,0.002850388032291315,0.061382834792639715,0.43591953366565195,0.9813796131298262,12626,0.10196401460089802
turnover,122484.0,0.026129144843923247,0.07563242467793244,0.0,0.00015855767531403766,0.00299027750308932,0.0076020172337208265,0.02030868413325689,0.3190207774355726,3.9368264961580124,1344,0.010853764899699584
abn_turnover,110052.0,-0.00020540544366551454,0.040762499206330675,-0.6169794427292287,-0.10354299594876161,-0.005061775350249462,-0.0008059438659790973,0.0013486566931021266,0.14742669038989817,1.1101355173286362,13776,0.11125109022192073
market_cap,122451.0,84979951093.78416,782526726706.8417,225621804.0,655710745.55,3981040228.5,8602259500.0,21780000000.0,933680436335.75,28266679233780.0,1377,0.011120263591433279
foreign_holding_pct,122484.0,13.029812546944907,14.657348699334667,0.01,0.05,2.82,8.43,17.1,70.15,93.28,1344,0.010853764899699584
att_nonzero_weeks_52,123593.0,11.025794341103461,12.093757864443118,0.0,0.0,3.0,7.0,14.0,52.0,52.0,235,0.0018977937138611623
att_mean_level_52,123593.0,0.8118140023852759,4.580280312991966,0.0,0.0,0.057692307692307696,0.17307692307692307,0.4230769230769231,11.463076923076956,136.75,235,0.0018977937138611623
