sector,n_tickers,n_ticker_weeks,mean_att,median_att,share_zero_weeks,dense,silent,sparse
半導體,10,5060,6.859090909090909,0.0,0.5448616600790513,1424,783,2843
航運,10,5060,2.5150197628458497,0.0,0.5990118577075099,773,920,3357
其他電子,10,5060,1.5389328063241108,0.0,0.7345849802371541,476,2069,2505
電子零組件,10,5060,1.1871541501976284,0.0,0.633399209486166,786,951,3313
光電,10,5060,0.9624505928853755,0.0,0.7515810276679842,626,2089,2335
鋼鐵,10,5060,0.8559288537549408,0.0,0.7565217391304347,524,1824,2702
塑膠,10,5060,0.6181818181818182,0.0,0.7035573122529645,288,796,3966
水泥,7,3542,0.5959909655561829,0.0,0.7380011293054771,401,1176,1958
金融,10,5060,0.583399209486166,0.0,0.6863636363636364,165,697,4188
電機機械,10,5060,0.4177865612648221,0.0,0.8110671936758893,139,1823,3088
造紙,7,3207,0.37698783910196443,0.0,0.7842220143436234,6,722,2473
食品,10,5060,0.36640316205533596,0.0,0.7816205533596838,1,1529,3520
綠能環保,7,1311,0.36613272311212813,0.0,0.8421052631578947,9,650,652
汽車,10,5060,0.3011857707509881,0.0,0.8231225296442688,113,2173,2764
油電燃氣,8,4048,0.25592885375494073,0.0,0.8421442687747036,24,1982,2034
生技,10,4566,0.24813841436706088,0.0,0.8679369250985546,0,2109,2449
電子通路,10,5060,0.23893280632411068,0.0,0.8571146245059289,24,2172,2854
橡膠,10,5060,0.2300395256916996,0.0,0.8490118577075099,0,1955,3095
玻璃,5,2530,0.22055335968379447,0.0,0.8592885375494071,0,1251,1274
電器電纜,10,5060,0.21324110671936758,0.0,0.8788537549407115,39,2713,2298
化學,10,5060,0.20691699604743083,0.0,0.8735177865612648,0,2025,3025
紡織,10,5060,0.17865612648221343,0.0,0.8841897233201581,29,3125,1896
貿易百貨,10,5060,0.16719367588932807,0.0,0.883596837944664,0,2363,2687
數位雲端,7,1773,0.1652566271855612,0.0,0.8849407783417935,0,958,812
運動休閒,9,2689,0.13090368166604685,0.0,0.9014503532911863,0,1183,1503
觀光餐旅,10,5060,0.1183794466403162,0.0,0.9130434782608695,0,2737,2313
資訊服務,10,5060,0.11047430830039526,0.0,0.9134387351778656,0,2921,2129
居家生活,10,4022,0.11039283938339135,0.0,0.9102436598707111,0,2252,1765
