model,status,term,coef,se,t,p,n_obs,n_entities,n_periods,r2_within,diagnostic,note,tier_composition
T3-1 整週,OK,abn_attention_all,0.00016859377301961555,0.00020918052077943078,0.8059726230311297,0.4202609910889854,82079,256,478,0.0016649980319290991,True,,dense=6623;sparse=75456
T3-1 整週,OK,att_zero_base,0.00033958341763651025,0.0003393162911229074,1.0007872493027636,0.316932652506394,82079,256,478,0.0016649980319290991,True,,dense=6623;sparse=75456
T3-1 整週,OK,ret_lag1,0.00021332584904069102,0.0004104931044454113,0.5196819306597141,0.60328669719331,82079,256,478,0.0016649980319290991,True,,dense=6623;sparse=75456
T3-1 整週,OK,ret_lag4,-0.00031047092211358636,0.0004460557026655597,-0.6960362130968404,0.4864081402464495,82079,256,478,0.0016649980319290991,True,,dense=6623;sparse=75456
T3-1 整週,OK,ret_lag25,0.0004049633088581045,0.0003980473831642814,1.0173746292183732,0.30897827267081346,82079,256,478,0.0016649980319290991,True,,dense=6623;sparse=75456
T3-1 整週,OK,log_market_cap,-0.003609363506876585,0.0007590209638350681,-4.755288297492774,1.985021943706755e-06,82079,256,478,0.0016649980319290991,True,,dense=6623;sparse=75456
T3-1 整週,OK,turnover,-0.0009720483603408108,0.0003900289076386923,-2.4922469624771475,0.012695748618050118,82079,256,478,0.0016649980319290991,True,,dense=6623;sparse=75456
T3-1 整週,OK,amihud,0.00011308828780611466,8.010336978861031e-05,1.4117794058421047,0.15801874956270812,82079,256,478,0.0016649980319290991,True,,dense=6623;sparse=75456
T3-1 整週,OK,foreign_holding_pct,0.0013579155298639545,0.0006971516260535948,1.947805153307585,0.05144171742424364,82079,256,478,0.0016649980319290991,True,,dense=6623;sparse=75456
T3-2 僅週間,OK,abn_attention_weekday,0.00014048643479004478,0.00019784218229787219,0.7100934348698585,0.47764823298701087,82079,256,478,0.001641605161186277,True,,dense=6623;sparse=75456
T3-2 僅週間,OK,att_zero_base,0.0003552761682406364,0.00034047625333508,1.04346827351566,0.2967345685958178,82079,256,478,0.001641605161186277,True,,dense=6623;sparse=75456
T3-2 僅週間,OK,ret_lag1,0.00021427526090282307,0.0004106706089132566,0.5217691654872801,0.6018324816738998,82079,256,478,0.001641605161186277,True,,dense=6623;sparse=75456
T3-2 僅週間,OK,ret_lag4,-0.0003076598179736439,0.0004457272486723175,-0.6902423374161364,0.4900437724541773,82079,256,478,0.001641605161186277,True,,dense=6623;sparse=75456
T3-2 僅週間,OK,ret_lag25,0.00040233848338183973,0.0003984883239930567,1.009661912675891,0.3126602995862582,82079,256,478,0.001641605161186277,True,,dense=6623;sparse=75456
T3-2 僅週間,OK,log_market_cap,-0.003606779968087988,0.000758933493772423,-4.752432192918254,2.0132698430597173e-06,82079,256,478,0.001641605161186277,True,,dense=6623;sparse=75456
T3-2 僅週間,OK,turnover,-0.0009668203800259584,0.00039021210764976613,-2.4776790906081403,0.013226017270737245,82079,256,478,0.001641605161186277,True,,dense=6623;sparse=75456
T3-2 僅週間,OK,amihud,0.00011301290013422124,8.011591026859222e-05,1.4106174386004025,0.15836127119975818,82079,256,478,0.001641605161186277,True,,dense=6623;sparse=75456
T3-2 僅週間,OK,foreign_holding_pct,0.0013579334604019303,0.000697179056480473,1.9477542358445246,0.051447812672980486,82079,256,478,0.001641605161186277,True,,dense=6623;sparse=75456
T3-3 僅週末,OK,abn_attention_weekend,0.00041702864409616085,0.00025735977582925503,1.620411125835134,0.10514786800708897,82079,256,478,0.001847021304937524,True,,dense=6623;sparse=75456
T3-3 僅週末,OK,att_zero_base,0.00034418587548229094,0.0003322192751727801,1.0360201866772698,0.3001958050257538,82079,256,478,0.001847021304937524,True,,dense=6623;sparse=75456
T3-3 僅週末,OK,ret_lag1,0.00021805291190820606,0.00040938882194552494,0.5326303509508649,0.5942909430083345,82079,256,478,0.001847021304937524,True,,dense=6623;sparse=75456
T3-3 僅週末,OK,ret_lag4,-0.00031570077988129304,0.0004464675293447161,-0.7071080406332114,0.47950136536590526,82079,256,478,0.001847021304937524,True,,dense=6623;sparse=75456
T3-3 僅週末,OK,ret_lag25,0.00040254563998424217,0.0003970567942665328,1.0138238302352909,0.31066983789046576,82079,256,478,0.001847021304937524,True,,dense=6623;sparse=75456
T3-3 僅週末,OK,log_market_cap,-0.0036147110891085812,0.0007591701576840903,-4.7613977611232094,1.9258699197610696e-06,82079,256,478,0.001847021304937524,True,,dense=6623;sparse=75456
T3-3 僅週末,OK,turnover,-0.0009601968989063684,0.0003890299859244553,-2.46818223182628,0.013582157831236064,82079,256,478,0.001847021304937524,True,,dense=6623;sparse=75456
T3-3 僅週末,OK,amihud,0.0001143096660055714,8.022981661853197e-05,1.4247778547105323,0.15422526251341306,82079,256,478,0.001847021304937524,True,,dense=6623;sparse=75456
T3-3 僅週末,OK,foreign_holding_pct,0.0013623326474547421,0.0006983276336064293,1.9508502626756135,0.051078289673826216,82079,256,478,0.001847021304937524,True,,dense=6623;sparse=75456
T3-4 週間＋週末,OK,abn_attention_weekday,0.00010581975488794218,0.000191553722081117,0.552428601951837,0.5806562569884339,82079,256,478,0.0018737095197651765,True,,dense=6623;sparse=75456
T3-4 週間＋週末,OK,abn_attention_weekend,0.00040863813383877276,0.0002536398953530472,1.6110956569745465,0.10716275507210993,82079,256,478,0.0018737095197651765,True,,dense=6623;sparse=75456
T3-4 週間＋週末,OK,att_zero_base,0.000309997029849857,0.00033793898198102506,0.9173165760062065,0.358979493697698,82079,256,478,0.0018737095197651765,True,,dense=6623;sparse=75456
T3-4 週間＋週末,OK,ret_lag1,0.00021187934216321865,0.00041047549102977255,0.5161802514241969,0.6057299251707686,82079,256,478,0.0018737095197651765,True,,dense=6623;sparse=75456
T3-4 週間＋週末,OK,ret_lag4,-0.0003226148497911547,0.000445463477059467,-0.7242228968371459,0.46893098680355205,82079,256,478,0.0018737095197651765,True,,dense=6623;sparse=75456
T3-4 週間＋週末,OK,ret_lag25,0.00041192229733240377,0.0003991375805344472,1.0320308520707013,0.30206073339664896,82079,256,478,0.0018737095197651765,True,,dense=6623;sparse=75456
T3-4 週間＋週末,OK,log_market_cap,-0.003617977549102159,0.0007585782613955313,-4.769418968645747,1.8507752546081946e-06,82079,256,478,0.0018737095197651765,True,,dense=6623;sparse=75456
T3-4 週間＋週末,OK,turnover,-0.0009821668913773606,0.00039001913246059113,-2.518253105125816,0.011795756618312003,82079,256,478,0.0018737095197651765,True,,dense=6623;sparse=75456
T3-4 週間＋週末,OK,amihud,0.00011407258598140679,8.007557229652294e-05,1.4245616073649976,0.1542878013322042,82079,256,478,0.0018737095197651765,True,,dense=6623;sparse=75456
T3-4 週間＋週末,OK,foreign_holding_pct,0.001360169937074785,0.0006973884952973392,1.9503762196347412,0.0511347241113822,82079,256,478,0.0018737095197651765,True,,dense=6623;sparse=75456
T3-5 交易時段切法,OK,abn_attention_intraday,0.00029294451444102353,0.00022664913660714426,1.292502229773725,0.1961869459796186,82079,256,478,0.001771833367906317,True,,dense=6623;sparse=75456
T3-5 交易時段切法,OK,abn_attention_non_trading,0.00010690600198135476,0.00021081193964969026,0.5071154990509658,0.6120751554943697,82079,256,478,0.001771833367906317,True,,dense=6623;sparse=75456
T3-5 交易時段切法,OK,att_zero_base,0.0003277730981601235,0.0003380147465757573,0.9697005869732419,0.332198641305145,82079,256,478,0.001771833367906317,True,,dense=6623;sparse=75456
T3-5 交易時段切法,OK,ret_lag1,0.00021109221807468504,0.000410065028753495,0.5147774213186569,0.6067099636748141,82079,256,478,0.001771833367906317,True,,dense=6623;sparse=75456
T3-5 交易時段切法,OK,ret_lag4,-0.00031909202784185663,0.00044537900891214157,-0.7164505319216848,0.47371525938367265,82079,256,478,0.001771833367906317,True,,dense=6623;sparse=75456
T3-5 交易時段切法,OK,ret_lag25,0.0004108492443874883,0.0003990614228703216,1.0295388650508503,0.30322958789513055,82079,256,478,0.001771833367906317,True,,dense=6623;sparse=75456
T3-5 交易時段切法,OK,log_market_cap,-0.00361057606559423,0.0007580078125321612,-4.763243868863209,1.9083316045165333e-06,82079,256,478,0.001771833367906317,True,,dense=6623;sparse=75456
T3-5 交易時段切法,OK,turnover,-0.0009889765987120163,0.00038918165605807673,-2.5411696140283486,0.011050071590689825,82079,256,478,0.001771833367906317,True,,dense=6623;sparse=75456
T3-5 交易時段切法,OK,amihud,0.00011282003715339078,8.027025246540896e-05,1.4055024581118463,0.15987573847832404,82079,256,478,0.001771833367906317,True,,dense=6623;sparse=75456
T3-5 交易時段切法,OK,foreign_holding_pct,0.0013536232791802622,0.000696337193500118,1.9439192560953342,0.05190863256296119,82079,256,478,0.001771833367906317,True,,dense=6623;sparse=75456
