model,status,term,coef,se,t,p,n_obs,n_entities,n_periods,r2_within,diagnostic,note,tier_composition
T4-high_effort 次週報酬（dense）,OK,abn_attention_high_effort_weekday,0.00011412421669386193,0.0005340205850222687,0.21370752344519256,0.8307836533764845,5614,36,450,0.007450230582248585,True,,dense=5614
T4-high_effort 次週報酬（dense）,OK,abn_attention_high_effort_weekend,-0.0009679464888087033,0.0009123855477431149,-1.0608963405909095,0.2887870531636705,5614,36,450,0.007450230582248585,True,,dense=5614
T4-high_effort 次週報酬（dense）,OK,ret_lag1,0.00046834130093787287,0.0012884480527195611,0.3634925753889205,0.7162519653236381,5614,36,450,0.007450230582248585,True,,dense=5614
T4-high_effort 次週報酬（dense）,OK,ret_lag4,-0.00019169775040160647,0.001060501238270385,-0.18076145834044874,0.856561970881293,5614,36,450,0.007450230582248585,True,,dense=5614
T4-high_effort 次週報酬（dense）,OK,ret_lag25,-8.123459436053638e-05,0.001102004049002704,-0.07371533202083276,0.9412397783845341,5614,36,450,0.007450230582248585,True,,dense=5614
T4-high_effort 次週報酬（dense）,OK,log_market_cap,-0.012800928108359574,0.005072749455113968,-2.523469416660157,0.011650335974920267,5614,36,450,0.007450230582248585,True,,dense=5614
T4-high_effort 次週報酬（dense）,OK,turnover,-0.0034040301709213922,0.0019268288690541808,-1.7666489357678778,0.07734661251922326,5614,36,450,0.007450230582248585,True,,dense=5614
T4-high_effort 次週報酬（dense）,OK,amihud,-0.0014794674373969146,0.0008841632868754153,-1.6732966176703306,0.0943300061129313,5614,36,450,0.007450230582248585,True,,dense=5614
T4-high_effort 次週報酬（dense）,OK,foreign_holding_pct,-0.001005536409308146,0.0032594451028048308,-0.3084992621728336,0.7577150123084109,5614,36,450,0.007450230582248585,True,,dense=5614
T4-mid_effort 次週報酬（dense）,OK,abn_attention_mid_effort_weekday,0.001320798074111733,0.0008521322891327798,1.5499918157730148,0.12120528619057747,5614,36,450,0.007525731098897759,True,,dense=5614
T4-mid_effort 次週報酬（dense）,OK,abn_attention_mid_effort_weekend,-0.00012083098413774763,0.0005487502082980321,-0.22019305379857465,0.8257295849762967,5614,36,450,0.007525731098897759,True,,dense=5614
T4-mid_effort 次週報酬（dense）,OK,ret_lag1,0.0004052678173405275,0.0012801511647216835,0.31657809523505487,0.7515766651207103,5614,36,450,0.007525731098897759,True,,dense=5614
T4-mid_effort 次週報酬（dense）,OK,ret_lag4,-0.00033704060894139995,0.0010570977993477034,-0.31883578714228283,0.7498640450040086,5614,36,450,0.007525731098897759,True,,dense=5614
T4-mid_effort 次週報酬（dense）,OK,ret_lag25,4.4341312524433444e-05,0.001095310740588579,0.040482861056037926,0.9677097491683182,5614,36,450,0.007525731098897759,True,,dense=5614
T4-mid_effort 次週報酬（dense）,OK,log_market_cap,-0.012606434238541306,0.005046535920630988,-2.4980371559438095,0.012519436472104628,5614,36,450,0.007525731098897759,True,,dense=5614
T4-mid_effort 次週報酬（dense）,OK,turnover,-0.0036086923666845,0.0019175933040904058,-1.881886195048148,0.059908144734434066,5614,36,450,0.007525731098897759,True,,dense=5614
