model,status,term,coef,se,t,p,n_obs,n_entities,n_periods,r2_within,diagnostic,note,tier_composition
T6-log_att_mean_level_52,OK,abn_attention_weekend,0.00025578313140473696,0.0002728528844723872,0.9374397192074481,0.348535576599428,72414,252,478,0.001726914425443371,True,,dense=5614;sparse=66800
T6-log_att_mean_level_52,OK,interaction,0.00026863579336000386,0.00016042524053739004,1.6745232387380673,0.09403217396325525,72414,252,478,0.001726914425443371,True,,dense=5614;sparse=66800
T6-log_att_mean_level_52,OK,log_att_mean_level_52,-6.67302950435463e-05,0.0004351983285205393,-0.15333306832863203,0.8781360559086728,72414,252,478,0.001726914425443371,True,,dense=5614;sparse=66800
T6-log_att_mean_level_52,OK,att_zero_base,0.0005626173875535164,0.00037559970599162546,1.4979175398131455,0.1341590798067689,72414,252,478,0.001726914425443371,True,,dense=5614;sparse=66800
T6-log_att_mean_level_52,OK,ret_lag1,0.0002657344420084762,0.00042720904864397146,0.6220243762438062,0.5339278181107983,72414,252,478,0.001726914425443371,True,,dense=5614;sparse=66800
T6-log_att_mean_level_52,OK,ret_lag4,-0.00031750432310761236,0.0004589647641173607,-0.6917836573319692,0.48907544206578035,72414,252,478,0.001726914425443371,True,,dense=5614;sparse=66800
T6-log_att_mean_level_52,OK,ret_lag25,0.00030445007546993266,0.00043123965524398205,0.7059881246257008,0.4801978171875734,72414,252,478,0.001726914425443371,True,,dense=5614;sparse=66800
T6-log_att_mean_level_52,OK,log_market_cap,-0.0026384128784426885,0.0008518080458605337,-3.097426575464251,0.0019528413652893928,72414,252,478,0.001726914425443371,True,,dense=5614;sparse=66800
T6-log_att_mean_level_52,OK,turnover,-0.0009986406714076739,0.00042624766079738734,-2.3428648723596583,0.01913903217505153,72414,252,478,0.001726914425443371,True,,dense=5614;sparse=66800
T6-log_att_mean_level_52,OK,amihud,2.85661507507821e-05,8.626677423538474e-05,0.33113734695628494,0.7405417107172503,72414,252,478,0.001726914425443371,True,,dense=5614;sparse=66800
T6-log_att_mean_level_52,OK,foreign_holding_pct,0.0010857395608203197,0.0007563153101775912,1.435564699285773,0.151130609554601,72414,252,478,0.001726914425443371,True,,dense=5614;sparse=66800
T6-log_market_cap,OK,abn_attention_weekend,0.0003634934490583976,0.0003013757290608353,1.2061138771563895,0.22777756600330523,72414,252,478,0.0016294162628850417,True,,dense=5614;sparse=66800
T6-log_market_cap,OK,interaction,0.00020911481276198333,0.00021363056825273623,0.978861847685531,0.32765154939444874,72414,252,478,0.0016294162628850417,True,,dense=5614;sparse=66800
T6-log_market_cap,OK,log_market_cap,-0.0027300619199092445,0.0007430364148241929,-3.674196668483865,0.00023877257137239205,72414,252,478,0.0016294162628850417,True,,dense=5614;sparse=66800
T6-log_market_cap,OK,att_zero_base,0.0005533176328370318,0.0003624960069386682,1.5264102838259659,0.12691213057778583,72414,252,478,0.0016294162628850417,True,,dense=5614;sparse=66800
T6-log_market_cap,OK,ret_lag1,0.00026761210681146654,0.0004278787844268999,0.6254390648741927,0.5316849210272943,72414,252,478,0.0016294162628850417,True,,dense=5614;sparse=66800
T6-log_market_cap,OK,ret_lag4,-0.00030426638661512677,0.00046253895316095405,-0.657817864929634,0.5106572860083971,72414,252,478,0.0016294162628850417,True,,dense=5614;sparse=66800
T6-log_market_cap,OK,ret_lag25,0.00030044420435953404,0.0004250766544743434,0.7068000587589741,0.47969303576427635,72414,252,478,0.0016294162628850417,True,,dense=5614;sparse=66800
T6-log_market_cap,OK,turnover,-0.0009964776574430583,0.0004253120747098351,-2.3429329113754767,0.019135542611999012,72414,252,478,0.0016294162628850417,True,,dense=5614;sparse=66800
T6-log_market_cap,OK,amihud,2.7530449675051327e-05,8.626837016796022e-05,0.3191256496610625,0.7496321641290149,72414,252,478,0.0016294162628850417,True,,dense=5614;sparse=66800
T6-log_market_cap,OK,foreign_holding_pct,0.001074411840817193,0.0007580550919350755,1.417326856910305,0.15639173329465317,72414,252,478,0.0016294162628850417,True,,dense=5614;sparse=66800
T6-turnover,OK,abn_attention_weekend,0.00023289949348157291,0.00021497319067036524,1.0833885507086112,0.27863963986430385,72414,252,478,0.0022538195580891207,True,,dense=5614;sparse=66800
T6-turnover,OK,interaction,0.0005597419186991756,0.00022284820533921603,2.511763188072999,0.012015146813552091,72414,252,478,0.0022538195580891207,True,,dense=5614;sparse=66800
T6-turnover,OK,turnover,-0.0012642879235115637,0.000435536039827815,-2.902831930995625,0.0036991774241399433,72414,252,478,0.0022538195580891207,True,,dense=5614;sparse=66800
T6-turnover,OK,att_zero_base,0.0005398696630666945,0.0003604769336659063,1.4976538375879864,0.13422761488584856,72414,252,478,0.0022538195580891207,True,,dense=5614;sparse=66800
T6-turnover,OK,ret_lag1,0.0002623703304067408,0.00042505625693088053,0.6172602476227177,0.5370650434397439,72414,252,478,0.0022538195580891207,True,,dense=5614;sparse=66800
T6-turnover,OK,ret_lag4,-0.00031796136422363293,0.00046051649652456176,-0.6904451124405581,0.48991655118547506,72414,252,478,0.0022538195580891207,True,,dense=5614;sparse=66800
T6-turnover,OK,ret_lag25,0.00034872212599508816,0.00042824017107415997,0.8143143720505814,0.41546758381199034,72414,252,478,0.0022538195580891207,True,,dense=5614;sparse=66800
T6-turnover,OK,log_market_cap,-0.002721063488237293,0.0007344256566599323,-3.7050223716479604,0.00021153082490132924,72414,252,478,0.0022538195580891207,True,,dense=5614;sparse=66800
T6-turnover,OK,amihud,2.5487051212664618e-05,8.591128489696786e-05,0.29666709377273154,0.7667215415657909,72414,252,478,0.0022538195580891207,True,,dense=5614;sparse=66800
T6-turnover,OK,foreign_holding_pct,0.0010577224010404616,0.000754546543109267,1.4017987501233455,0.16097968217626368,72414,252,478,0.0022538195580891207,True,,dense=5614;sparse=66800
T6-amihud,OK,abn_attention_weekend,0.00042274713445581775,0.00026348215791170384,1.6044620926381117,0.10861663958812584,72414,252,478,0.001633669313119257,True,,dense=5614;sparse=66800
T6-amihud,OK,interaction,-0.0008492340496733142,0.00027849175314623414,-3.0494046594887396,0.0022937902444912783,72414,252,478,0.001633669313119257,True,,dense=5614;sparse=66800
T6-amihud,OK,amihud,-9.03484865819062e-05,0.00013617214968239243,-0.6634872607404289,0.5070206696656916,72414,252,478,0.001633669313119257,True,,dense=5614;sparse=66800
T6-amihud,OK,att_zero_base,0.000540414709152512,0.000359607578220682,1.502790101995218,0.13289758479229952,72414,252,478,0.001633669313119257,True,,dense=5614;sparse=66800
T6-amihud,OK,ret_lag1,0.00026788336809812133,0.00042787893820327985,0.6260728074697927,0.5312691808139713,72414,252,478,0.001633669313119257,True,,dense=5614;sparse=66800
