tau,mean_diff,se,t,p,n_events,n_week_clusters,treated_mean_ar,control_mean_ar,car_diff
-4,-0.0008037601114200666,0.0006748027693892859,-1.1911037533937368,0.2336128565786505,710,316,-0.00040188213717348074,0.000401877974246586,-0.0008037601114200666
-3,0.0010843049008167922,0.0006744060634534238,1.607792336955578,0.10788066731835681,710,316,-0.00013592943949774215,-0.001220234340314534,0.0002805447893967256
-2,-5.422122385017218e-05,0.0001540189716739535,-0.3520425000950818,0.724806389595497,710,316,-0.0009797067047942762,-0.0009254854809441039,0.00022632356554655342
-1,6.013653098141046e-05,0.00015471438978174147,0.38869384461423534,0.6975026363074732,710,316,-0.0005306852674260384,-0.0005908217984074489,0.0002864600965279639
0,0.007447345252264056,0.0015016893801400209,4.95931139339192,7.074349270441461e-07,710,316,0.00817550700247311,0.0007281617502090543,0.00773380534879202
1,-0.002231942166473263,0.0013078204140319534,-1.7066121177847977,0.08789417135153768,710,316,-0.001329981218490296,0.0009019609479829657,0.005501863182318757
2,-0.0003452294826093604,0.0012972531589905787,-0.2661234472367684,0.7901441376349645,710,316,-4.6174011732464686e-05,0.00029905547087689623,0.005156633699709397
3,-0.0006668607298327922,0.001190660126775561,-0.5600764776080347,0.575427274082841,710,316,3.534420547745112e-05,0.0007022049353102434,0.004489772969876605
4,-0.0005533695073091788,0.0011460532987452162,-0.48284796868963126,0.6292036882930132,710,316,-0.0016677049199770864,-0.0011143354126679078,0.003936403462567426
5,0.0007503520470827744,0.001323632968860317,0.5668883026756635,0.5707900718918655,710,316,0.0010143221504879264,0.0002639701034051517,0.0046867555096502
6,-0.0012405727409129236,0.0013455763697864153,-0.9219638281176422,0.35654744362675284,710,316,-3.3044132881325576e-05,0.0012075286080315982,0.003446182768737277
7,-0.0012436046827179789,0.001144421653010347,-1.086666509189804,0.2771842201180411,710,316,-0.0010560799881376341,0.0001875246945803457,0.0022025780860192978
8,-0.0012231439004151148,0.0012591077746476758,-0.9714370167854578,0.3313307027210327,710,316,-0.0007010924658360446,0.0005220514345790696,0.000979434185604183
