tau,mean_diff,se,t,p,n_events,n_week_clusters,treated_mean_ar,control_mean_ar,car_diff
-4,-0.0020832509293995122,0.0014600569055275635,-1.4268285855932237,0.15362930945472023,134,104,-0.00015145688431913808,0.0019317940450803747,-0.0020832509293995122
-3,0.0023376391834772944,0.001446704348139748,1.6158375320314475,0.10612944450656502,134,104,0.0019002482046546654,-0.00043739097882262957,0.0002543882540777822
-2,3.111810343556648e-05,0.000320048782993632,0.09722925094261532,0.9225443391949237,134,104,-0.0008885660349001423,-0.0009196841383357086,0.00028550635751334866
-1,0.00021783445077925027,0.0003201506578903679,0.6804123165470592,0.49624342452125747,134,104,-0.0005002847337368774,-0.0007181191845161278,0.000503340808292599
0,0.012873530829516158,0.0039064483982586,3.295456516270602,0.0009826190929377795,134,104,0.011577477865878724,-0.0012960529636374407,0.013376871637808757
1,-0.0018329817830264191,0.0025267858084010364,-0.7254203252733716,0.4681942075999762,134,104,0.0008268216038195763,0.0026598033868459946,0.011543889854782339
2,0.00025516835476243737,0.0030564475374607472,0.08348527224335334,0.9334656875560935,134,104,-0.00021281785469621565,-0.0004679862094586531,0.011799058209544775
3,0.005177521805405254,0.004234928615375752,1.2225759335369266,0.22148990760697507,134,104,0.0055222644938551346,0.0003447426884498797,0.01697658001495003
4,0.0008525420933215136,0.0029342598146057273,0.29054758173691875,0.7713973548970745,134,104,-9.809415843364449e-05,-0.000950636251755159,0.017829122108271544
5,-0.002842126187003263,0.002824911931735019,-1.006093731657564,0.31437048371471266,134,104,0.0004614733329114575,0.0033035995199147193,0.01498699592126828
6,0.0007083461869982831,0.0037109213338047415,0.19088148825618687,0.8486184437359402,134,104,0.0022075418381030747,0.001499195651104792,0.015695342108266563
7,-0.00407950350715028,0.0028281620574662335,-1.4424574774209122,0.14917335917402721,134,104,-0.002782262967134639,0.0012972405400156419,0.011615838601116283
8,-0.0037625374102897052,0.003708708529891654,-1.0145141846451935,0.3103374644589477,134,104,-0.0003529025347475387,0.0034096348755421665,0.007853301190826579
