tau,mean_diff,se,t,p,n_events,n_week_clusters,treated_mean_ar,control_mean_ar,car_diff
-4,-0.00027605010883686103,0.0005395983501487519,-0.5115844197091446,0.6089418919031904,1406,389,-0.001984495255989935,-0.0017084451471530747,-0.00027605010883686103
-3,0.0005835585126123711,0.0005405215733061331,1.0796211315729731,0.2803109274566641,1406,389,-0.0022643099982198886,-0.0028478685108322584,0.0003075084037755101
-2,-4.3954638611084396e-05,0.00012065888913521035,-0.3642884409604404,0.7156426305331975,1406,389,-0.0017680716727171797,-0.0017241170341060954,0.0002635537651644257
-1,0.00015931339896897985,0.00012300427157975,1.295185906334064,0.19525610548079175,1406,389,-0.0015601802380486962,-0.0017194936370176761,0.0004228671641334056
0,0.009435000516149719,0.0011856314766455988,7.957785114514101,1.7514618773604376e-15,1406,389,0.010130510965283078,0.0006955104491333558,0.009857867680283124
1,-0.0010014148738112752,0.001106124533380345,-0.9053364640154266,0.36528716427869945,1406,389,-0.0007487502388437438,0.00025266463496752983,0.008856452806471848
2,-0.0020654875338292516,0.0012127959300729328,-1.7030792094635752,0.08855324610859061,1406,389,-0.00019756241062074997,0.0018679251232085027,0.006790965272642597
3,-0.00015427528228806307,0.0012110994500573952,-0.12738448711272374,0.8986360937044925,1406,389,9.651849095360972e-05,0.00025079377324167416,0.006636689990354534
4,0.0006954700036392458,0.0010373234574841096,0.6704466178042633,0.5025731254310397,1406,389,-0.00018039254059419552,-0.0008758625442334416,0.00733215999399378
5,-0.0006675940744315664,0.0011367874884492194,-0.5872637420933297,0.557026588315779,1406,389,0.0004885241668318718,0.0011561182412634385,0.006664565919562214
6,-0.0017552703118140964,0.0010475857355182496,-1.6755385762729476,0.09382860886735857,1406,389,-0.00024269283286946488,0.001512577478944633,0.004909295607748117
7,0.0015336800902302332,0.001122678692356751,1.3660899602634298,0.1719107290982591,1406,389,0.0004813351875735349,-0.001052344902656698,0.00644297569797835
8,-0.0001648633621009218,0.0009922589791581996,-0.16614952906829478,0.868039277236685,1406,389,-0.0011913480031685675,-0.0010264846410676458,0.006278112335877428
