tau,mean_diff,se,t,p,n_events,n_week_clusters,treated_mean_ar,control_mean_ar,car_diff
-4,-0.0016065847589498171,0.0010525158426223597,-1.526423350499871,0.12690446603126976,310,192,-0.002297393679025528,-0.0006908089200757099,-0.0016065847589498171
-3,0.0016839633967245574,0.0010647975256329724,1.5814869552063617,0.11376673928514924,310,192,-1.0709538588982428e-06,-0.0016850343505834561,7.737863777474026e-05
-2,0.00010293797440551706,0.00023065088600147222,0.44629342722256016,0.655385303461731,310,192,-0.0017170927819811946,-0.0018200307563867111,0.0001803166121802573
-1,1.0936796573116852e-05,0.0002493535748497217,0.043860596663625726,0.9650155243627637,310,192,-0.0013059884584957296,-0.0013169252550688467,0.00019125340875337415
0,0.010657218568641526,0.002874701818722623,3.7072431301334317,0.00020952776576495973,310,192,0.011918894474270853,0.0012616759056293223,0.0108484719773949
1,-0.0009273394332927544,0.0019208181637236253,-0.4827835610920345,0.6292494242465045,310,192,-0.00032232768810141327,0.0006050117451913394,0.009921132544102144
2,-0.0015679385367820316,0.0020804457884422965,-0.7536550798355591,0.45105636148665007,310,192,-0.0015380746234754411,2.9863913306590076e-05,0.008353194007320113
3,0.0029234164076233885,0.0022960302145993636,1.273248230373788,0.20292997085076536,310,192,0.0018017681315446634,-0.0011216482760787268,0.0112766104149435
4,0.0026663689984515217,0.002015367752715941,1.323018587976453,0.18582919641883333,310,192,0.001398656739407462,-0.0012677122590440612,0.013942979413395023
5,-0.0010569571023205835,0.001978395590363778,-0.534249625033907,0.5931688396071959,310,192,0.0003200316477323931,0.001376988750052976,0.01288602231107444
6,0.001966010783712068,0.0020534983717930186,0.9573958327492802,0.33836750102968915,310,192,0.0021611534390789783,0.00019514265536691033,0.014852033094786507
7,0.0004773101744956664,0.002364542015919818,0.20186157458064474,0.8400249426792792,310,192,0.0018252908155900712,0.0013479806410944051,0.015329343269282173
8,-0.003655471893919612,0.0023840065655996398,-1.5333313031376512,0.12519424554882094,310,192,-0.001672757670321825,0.001982714223597788,0.011673871375362561
