tau,treated_mean_ar,control_mean_ar,mean_diff,n_events,car_diff
-4,-0.00017897941980351607,-6.354674642097865e-05,-0.00011543267338253742,2658,-0.00011543267338253742
-3,0.0013614740444429052,-8.737868496636445e-05,0.0014488527294092696,2658,0.0013334200560267322
-2,0.001285923138823415,-7.289650019669774e-05,0.0013588196390201127,2658,0.0026922396950468446
-1,0.00414925053400937,-0.0001550715333730259,0.004304322067382396,2658,0.0069965617624292405
0,0.013403890512550682,-0.0003924919718684426,0.013796382484419126,2658,0.020792944246848365
1,-0.0005274319094466116,2.0974945817755937e-06,-0.0005295294040283872,2658,0.020263414842819977
2,0.0008101673843212081,-3.6110498987388265e-05,0.0008462778833085964,2658,0.021109692726128573
3,-0.0016231427635071314,3.788772630030947e-05,-0.0016610304898074409,2658,0.01944866223632113
4,0.0004681676239842623,-1.4366884636267808e-05,0.0004825345086205301,2658,0.019931196744941662
5,-0.0010225852317681872,2.4502044148124684e-05,-0.0010470872759163119,2658,0.01888410946902535
6,9.043859940975168e-05,-9.984797023642855e-07,9.143707911211597e-05,2658,0.018975546548137465
7,0.0003991865458517515,-4.418056090299524e-06,0.000403604601942051,2658,0.019379151150079515
8,-0.0007484745152491337,3.657770284194789e-05,-0.0007850522180910816,2658,0.018594098931988434
