tau,mean_ar,std,n_events,se,t,car,car_from_event
-4,-0.0001899433650734716,0.03803016941959606,635,0.0015091812381486228,-0.12585855182408923,-0.0001899433650734716,
-3,0.0033285692308905202,0.03884232717903814,632,0.0015450648160810364,2.1543233631668834,0.0031386258658170486,
-2,0.0022013190212839774,0.03322223461923612,641,0.0013121993738441423,1.6775796918993509,0.0053399448871010256,
-1,0.0028808156037831894,0.03539291135469583,631,0.0014089695542108484,2.044625872272101,0.008220760490884216,
0,0.016470062815739425,0.06259754773669657,643,0.0024686063032252617,6.671806190489388,0.02469082330662364,0.016470062815739425
1,0.0002347645599208439,0.039876742588424,643,0.001572585215637229,0.14928574781603468,0.024925587866544485,0.01670482737566027
2,0.0004113375555914152,0.04084690063838733,637,0.0016184131285218492,0.2541610348694487,0.0253369254221359,0.017116164931251683
3,-0.0016030362098893014,0.038998203946641136,639,0.001542745104879228,-1.0390804059720502,0.023733889212246596,0.015513128721362382
4,0.002039661664068696,0.0429267223061846,638,0.0016994852106200972,1.200164409388698,0.025773550876315294,0.017552790385431078
5,-0.0021701125506124845,0.03688335454203591,634,0.0014648251380195547,-1.481482324604614,0.02360343832570281,0.015382677834818594
6,0.0007880769755245293,0.037294757619455284,639,0.0014753578096518328,0.534159896920535,0.024391515301227337,0.01617075481034312
7,-0.0007364675399365099,0.03841677752094034,632,0.0015281373595671264,-0.48193805048070293,0.023655047761290827,0.015434287270406612
8,-0.002167021134423561,0.03586208257924856,638,0.001419793445461563,-1.5262932374779916,0.021488026626867267,0.013267266135983051
