sector,n_tickers,status,n_obs,beta_weekend,t_weekend,p_weekend,note
光電,9,SKIPPED,2806,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
其他電子,9,SKIPPED,2852,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
化學,10,SKIPPED,2903,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
半導體,10,SKIPPED,4070,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
塑膠,10,SKIPPED,4070,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
居家生活,9,SKIPPED,1688,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
數位雲端,7,SKIPPED,772,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
橡膠,10,SKIPPED,2965,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
水泥,7,SKIPPED,2264,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
汽車,10,SKIPPED,2759,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
油電燃氣,7,SKIPPED,1969,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
玻璃,5,SKIPPED,1227,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
生技,10,SKIPPED,2334,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
紡織,9,SKIPPED,1835,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
綠能環保,6,SKIPPED,612,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
航運,10,SKIPPED,3955,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
觀光餐旅,9,SKIPPED,2240,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
貿易百貨,10,SKIPPED,2590,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
資訊服務,10,SKIPPED,2049,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
造紙,7,SKIPPED,2379,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
運動休閒,9,SKIPPED,1421,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
金融,10,SKIPPED,4192,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
鋼鐵,10,SKIPPED,3091,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
電器電纜,10,SKIPPED,2217,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
電子通路,10,SKIPPED,2769,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
電子零組件,10,SKIPPED,3928,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
電機機械,10,SKIPPED,3096,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
食品,10,SKIPPED,3360,,,,"樣本不足（門檻 obs≥500, 個股≥20, 週≥20）"
