model,status,term,coef,se,t,p,n_obs,n_entities,n_periods,r2_within,diagnostic,note,tier_composition
T8-1 產業外溢,OK,abn_attention_weekend,0.0002260757700640954,0.0002466156374216724,0.916713037452458,0.3592951848420236,103453,258,478,6.313620599329717e-05,True,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct,dense=13734;sparse=89719
T8-1 產業外溢,OK,sector_peer_abn_att_weekend,0.00017599048190343654,0.0003960550416807762,0.44435864559776617,0.6567842434720208,103453,258,478,6.313620599329717e-05,True,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct,dense=13734;sparse=89719
T8-1 產業外溢,OK,att_zero_base,0.0005056296788603729,0.00040515905237430486,1.247978234466914,0.2120418731121656,103453,258,478,6.313620599329717e-05,True,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct,dense=13734;sparse=89719
T8-1 產業外溢,OK,ret_lag1,0.000411184949474995,0.00039132489466024733,1.0507508085627681,0.2933755260376054,103453,258,478,6.313620599329717e-05,True,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct,dense=13734;sparse=89719
T8-1 產業外溢,OK,ret_lag4,-0.0007261011402307889,0.00042440133015334437,-1.7108832810878198,0.08710568112403294,103453,258,478,6.313620599329717e-05,True,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct,dense=13734;sparse=89719
T8-1 產業外溢,OK,ret_lag25,6.264419714845893e-05,0.0003881189420849686,0.1614046374854454,0.8717750318427417,103453,258,478,6.313620599329717e-05,True,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct,dense=13734;sparse=89719
T8-1 產業外溢,OK,amihud,-0.0003339111976159926,0.00015533333125796825,-2.1496429318280246,0.031585797938674665,103453,258,478,6.313620599329717e-05,True,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct,dense=13734;sparse=89719
T8-1 產業外溢,OK,listing_age_years,0.004094862969573531,0.0014986202687785964,2.7324219849975213,0.006288130550717863,103453,258,478,6.313620599329717e-05,True,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct,dense=13734;sparse=89719
T8-2 產業內相對關注度,OK,abn_att_weekend_rel_sector,0.00015570152241900517,0.0001653439513450727,0.941682602552882,0.3463573781773075,103515,258,478,0.00014955635001823175,True,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct,dense=13734;sparse=89781
T8-2 產業內相對關注度,OK,att_zero_base,0.0005129194711752668,0.0004035643607387214,1.2709731608518942,0.2037410736722185,103515,258,478,0.00014955635001823175,True,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct,dense=13734;sparse=89781
T8-2 產業內相對關注度,OK,ret_lag1,0.00041270130978859855,0.0003913576293197043,1.054537535159327,0.2916393642232955,103515,258,478,0.00014955635001823175,True,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct,dense=13734;sparse=89781
